orig_label	(11) internal exons	(04) H3K4me3	(10) initial intron	(02) H3K27me3	(07) 5' flanking (1000-10000 bp)	(16) 3' flanking (1000-10000 bp)	(01) H3K9me3	(09) initial exon	(15) 3' flanking (1-1000 bp)	(06) H3K4me1	(03) H3K36me3	(13) terminal exon	(14) terminal intron	(05) H3K27ac	(12) internal introns	(08) 5' flanking (1-1000 bp)
Quies	-1.3186977140812441	0.5216169316706224	-1.085350026677925	0.453302009073647	-0.894195705630904	-0.6901649160952511	0.40956075670775954	-0.906959591746044	-0.6973457505278025	0.2591082587273027	0.23418135706167192	-0.714350259896642	-0.9672857264905678	0.14622287935575232	-1.332809899209367	-0.9147227979425601
EnhWF	-0.4613111130879401	0.7708344808850881	0.4984078427797105	0.45685873932532	-0.008701108172349703	0.17209894387618427	0.6360910235066172	-0.026875743145536087	0.09942202824587458	1.7367864888853475	0.5183321725467777	0.11067965519307338	0.1339177174205165	0.7987559025091187	-0.4406182845612887	-0.08293589011698453
Low	0.09793564769585877	0.594512250313395	0.25533591230629166	0.4715423634961274	-0.09132664822350844	0.4112144519602053	0.5069020331144453	-0.15152090231174067	0.39507863630937196	0.49510305111658615	0.42158690910530355	0.29018904693459996	0.22888612740460734	0.2819206662561711	0.1428213139260166	-0.18530464184164852
CtcfO	1.042711068511945	0.6147666691903495	0.45654872394517143	0.5208932116110875	1.1253211827898892	1.1437478911804586	0.5482906666808326	0.8519990055136242	0.978788710738917	0.9697030407185773	0.5229627706435284	0.8869945251858838	1.018490507443765	0.3837118957962169	0.9734710949302139	1.1034839501702196
Repr	0.49924380267008694	0.6132192880348069	1.1526466557581503	1.486443809223713	0.9319161603623624	0.3697995724191333	0.46443085732747047	1.0573810906315468	0.3624853237480852	0.4469636025791627	0.5145536778425368	0.7019314772090055	0.7680687945678993	0.18602603201001575	0.1269428522543977	0.9615216215611511
FaireW	-0.41427760740755804	0.5367200546390994	0.5196360785953572	0.3707277560136388	0.7530561413145695	0.20791641302195063	0.42920906129139463	0.7053476194413879	-0.04910766202093016	0.49207406078605503	0.33767529434285815	-0.057435936845530444	0.05434549500141953	0.5026223273114667	-0.12780614411633842	0.7968595894652217
ElonW	1.2574983753498004	0.5968000424858045	-0.31719711849377874	0.24579986861156522	-0.5079614458221109	0.6501758575982219	0.5256595017667355	-0.8020328318297046	0.7605236660695891	0.46945992245954526	0.7039056844867895	0.46970424679475964	0.804852252392531	0.37371110118290785	1.6011020139039183	-0.7729616009109985
EnhF	-0.5317794585980429	0.9672330097179649	0.27163979485821543	0.32341603648502104	-0.09722112629040429	0.13724952212455144	0.747057568009049	-0.21385309590789225	0.13903338601975362	2.083722820330009	0.5943710559385599	0.017735817361617286	-0.07492800572546066	2.1817605731289933	-0.39921146295188664	-0.2668365164178538
PromP	1.3550502689054307	1.624141919343779	3.1633572418741522	1.071066735984943	4.2050948673284365	1.0894339001493676	0.5559491526121927	4.168542765753086	1.243566854224026	1.6221336757400695	0.5269959623142423	1.6634315873436025	1.9567441962926793	0.6891677543093044	0.825276307103914	4.258771675372557
Enh	0.11144262163323583	1.2113770167110738	0.33354163822867444	0.3116139523499275	0.6162180106947425	0.7495962949700198	0.643664142880675	0.3445579268771515	0.7037205093110657	2.2891164237035078	0.6935356396597492	0.6865544357056872	0.538625187413077	2.7745025312850156	0.14893865676135262	0.46227496993715744
ReprD	1.0975296161013564	0.7957716483435545	2.767823314000473	1.6505010088483885	2.9366492032634373	1.1817942329590052	0.547837606629513	3.027760187766716	1.261336172447187	1.0904327145211214	0.5666051595659631	1.5001267273823644	1.9131309977523916	0.21455153853957634	0.6778659366494851	2.972816143980144
PromF	0.6928534354848123	1.1358240428398338	2.532821149343704	0.43361899785277175	1.1932553067739249	0.44613614991783695	0.598787137125179	0.8962348753045591	0.4784099719927679	1.3815998631298414	0.5391766853287397	0.47628682423339236	0.643194480547547	0.8386687779541551	0.45380929867025244	0.7755860952451932
Pol2	1.8307806835692084	0.5442584689954918	1.4561563355702751	0.3303528814751938	1.4161741757609547	2.3750557798251193	0.36687520764585224	1.608375946530117	2.290639926331787	0.5544633516293307	0.7721689760989224	2.2013285609375783	2.1514968116724766	0.35780442882176583	1.8192376667339982	1.8176778800715778
Ctcf	0.37378348147929635	0.6122904694485983	0.09371191303456784	0.6601748833109167	0.4170100868681949	0.3500667692057564	0.5089560841238506	0.5053850260778191	0.559107994518677	0.5722417689120057	0.4423272911469716	0.5616559583812789	0.3649647194394485	0.25386854172301193	0.2721790216655641	0.5482353144220322
Gen5'	1.7048545948902085	0.8498010363464268	0.6439243730793593	0.29850391025812706	0.07885316233435763	1.1076995009264563	0.6052219375735295	0.15942316652842947	1.1069408226800046	1.794680731400022	1.451286230571329	1.311851867387988	1.5427931617013224	1.3610355188205614	1.6710098272696619	0.15809211367694725
EnhW	-0.016742261458916857	0.9394421006149639	0.6524519457381414	0.4815813006673445	0.839347409933927	0.5594197576398755	0.6183560691685948	0.6407193288328404	0.5782820399395614	2.0280924634326793	0.49094606306371225	0.43673015170008783	0.4205663546245717	1.0412003816276514	-0.06901495738714418	0.8145585541458159
Tss	1.2004998070129396	2.1567307604904156	3.789142963002298	0.3386476399610568	4.537854667936487	1.444427504127914	0.5391661446175069	4.7300662878704385	1.4615971005912234	1.1695217577488404	0.5202427816350678	1.5975196320737564	1.5595217754569775	3.0488581159095847	0.3584416913031774	4.754219443528083
