old	new
16_EnhW1	LowConfidence
25_Quies	Quiescent
4_PromD2	Transcribed
6_Tx	FacultativeHet
14_EnhA2	LowConfidence
19_DNase	LowConfidence
24_ReprPC	FacultativeHet
21_Het	LowConfidence
22_PromP	LowConfidence
15_EnhAF	FacultativeHet
7_Tx3'	FacultativeHet
17_EnhW2	RegPermissive
20_ZNF/Rpts	FacultativeHet
10_TxEnh5'	RegPermissive
12_TxEnhW	Transcribed
1_TssA	Transcribed
5_Tx5'	Transcribed
18_EnhAc	Transcribed
2_PromU	Transcribed
8_TxWk	FacultativeHet
3_PromD1	Transcribed
13_EnhA1	Transcribed
23_PromBiv	FacultativeHet
9_TxReg	Transcribed
11_TxEnh3'	FacultativeHet
