label	trackname	mean	sd	n
16_EnhW1	ENCFF834YLI	0.58804399359511481737	0.4508232449284381976	5977600
16_EnhW1	ENCFF444SGK	1.4600811960280818538	0.90073908425602349973	5977600
16_EnhW1	ENCFF689TMV	0.7271683903871064485	0.423879610330111968	5977600
16_EnhW1	ENCFF312LYO	0.64798389848497483335	0.6326691675587885007	5977600
16_EnhW1	ENCFF010PHG	0.9519964609827474358	0.7879854415408334403	5977600
16_EnhW1	ENCFF678IWR	0.5187839517672683314	0.56301757824200212145	5977600
25_Quies	ENCFF834YLI	0.500681320005053745	0.4895641768967529282	2400514014
25_Quies	ENCFF444SGK	0.23873544384197444624	0.39812880692220681402	2400526600
25_Quies	ENCFF689TMV	0.39181603123397693735	0.3314469417161822195	2400618387
25_Quies	ENCFF312LYO	0.43402497516967120702	0.5807211447690984403	2400551048
25_Quies	ENCFF010PHG	0.2090626310745499901	0.41885394739154784957	2400503262
25_Quies	ENCFF678IWR	0.28573730412420745266	0.47974994865570842918	2400505112
4_PromD2	ENCFF834YLI	0.5081642329083735772	0.40944389754144161538	6139800
4_PromD2	ENCFF444SGK	1.3782513559658458098	0.8518820975355835057	6139800
4_PromD2	ENCFF689TMV	1.5574797708897665835	0.87401992585475614373	6139800
4_PromD2	ENCFF312LYO	0.3837483219383610575	0.51049369473979251465	6139800
4_PromD2	ENCFF010PHG	1.2687414452454603752	0.94729649314174646513	6139800
4_PromD2	ENCFF678IWR	0.9365608097088994559	0.7323654533019368158	6139800
6_Tx	ENCFF834YLI	0.57012596712811872417	0.44266047618371963415	17001000
6_Tx	ENCFF444SGK	0.8188974402434909181	0.7340953187429754427	17001000
6_Tx	ENCFF689TMV	0.50772437065136539753	0.29874111805819851754	17001000
6_Tx	ENCFF312LYO	0.33349363315882137485	0.33756615520350573444	17001000
6_Tx	ENCFF010PHG	0.6886446025306814159	0.6383908720457603882	17001000
6_Tx	ENCFF678IWR	1.7479276537139100836	0.75578068677599430684	17001000
14_EnhA2	ENCFF834YLI	0.5601759792386712162	0.40916320175670967572	10405000
14_EnhA2	ENCFF444SGK	1.6020718959139204409	0.80040520718459692585	10405000
14_EnhA2	ENCFF689TMV	0.65063221753209055987	0.3417415351980225539	10405000
14_EnhA2	ENCFF312LYO	0.4370237686215164583	0.47830434844872193103	10405000
14_EnhA2	ENCFF010PHG	1.4962584860908403699	0.8615135361968183945	10405000
14_EnhA2	ENCFF678IWR	0.66613833388356721957	0.5990481740083409521	10405000
19_DNase	ENCFF834YLI	0.5942398088943495539	0.46281246235165448739	21008600
19_DNase	ENCFF444SGK	0.60212264438514206326	0.6517298527283215868	21009000
19_DNase	ENCFF689TMV	0.49927144239993644914	0.30780329291913456537	21009200
19_DNase	ENCFF312LYO	0.69199573328236386685	0.651057892098828271	21009000
19_DNase	ENCFF010PHG	0.43931389331825695265	0.5588447478013568072	21008200
19_DNase	ENCFF678IWR	0.42645498610797057774	0.53497805544644725517	21008200
24_ReprPC	ENCFF834YLI	0.52260622046444988334	0.44171842189834846542	41493400
24_ReprPC	ENCFF444SGK	0.7793471830776903569	0.83943825988904490534	41493400
24_ReprPC	ENCFF689TMV	0.47138100906070800955	0.31201617983170652285	41493400
24_ReprPC	ENCFF312LYO	1.4747653005950136148	0.83551080170362843975	41493400
24_ReprPC	ENCFF010PHG	0.39698671472244806237	0.53891977593205631265	41493400
24_ReprPC	ENCFF678IWR	0.31831532055015841418	0.4898010040750202624	41493400
21_Het	ENCFF834YLI	0.9221775481456626634	0.6163575114111997302	28134128
21_Het	ENCFF444SGK	0.23168442371614341136	0.40265884517038222026	28131612
21_Het	ENCFF689TMV	0.44970022267477746574	0.32327324961887048948	28133710
21_Het	ENCFF312LYO	0.41743905625213372578	0.5256782489188209589	28133400
21_Het	ENCFF010PHG	0.26082137408100477657	0.47088876613176558646	28134158
21_Het	ENCFF678IWR	0.3734340603835035657	0.54995809095163057634	28133878
22_PromP	ENCFF834YLI	0.541955296483385003	0.4694214986604268454	12745600
22_PromP	ENCFF444SGK	1.1968600971419612067	0.8593016130089176695	12745600
22_PromP	ENCFF689TMV	0.8435485610582258942	0.66218301951765301213	12745600
22_PromP	ENCFF312LYO	0.49835785642254056173	0.5969148545474536754	12745600
22_PromP	ENCFF010PHG	1.0448180685369208424	0.96134723304742978575	12745600
22_PromP	ENCFF678IWR	0.50016782123994161363	0.5908570636836810214	12745600
