url,celltype,tool,dataset_key,concatenation_key,assembly,reference epigenome,unique_key,feature_aggregation_tab,signal_distribution_tab,unique_key
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E003_25_imputed12marks_mnemonics.bed.gz,H1-HESC,ChromHMM,roadmap25,roadmap25,hg19,ENCSR820QMS,H1-HESC_roadmap25,gs://segway-testing/segway/71253809-6e95-46c4-8837-a309c222d239/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/71253809-6e95-46c4-8837-a309c222d239/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,H1-HESC_roadmap25
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayH1hesc.bed.gz,H1-HESC,Segway,segway_nar,segway_nar_H1-HESC,hg19,ENCSR820QMS,H1-HESC_segway_nar,gs://segway-testing/segway/a155d3c9-06b4-4246-86a9-e6984bc2c2b6/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/a155d3c9-06b4-4246-86a9-e6984bc2c2b6/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,H1-HESC_segway_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmHelas3.bed.gz,HELA-S3,ChromHMM,chromhmm_nar,chromhmm_nar,hg19,ENCSR068MRQ,HELA-S3_chromhmm_nar,gs://segway-testing/segway/915f41a7-f6c6-4ecd-8dfd-74342a4494dc/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/915f41a7-f6c6-4ecd-8dfd-74342a4494dc/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HELA-S3_chromhmm_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayHelas3.bed.gz,HELA-S3,Segway,segway_nar,segway_nar_HELA-S3,hg19,ENCSR068MRQ,HELA-S3_segway_nar,gs://segway-testing/segway/6626dad4-a30a-4599-8492-b74af411d4df/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/6626dad4-a30a-4599-8492-b74af411d4df/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HELA-S3_segway_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmHepg2.bed.gz,HEPG2,ChromHMM,chromhmm_nar,chromhmm_nar,hg19,ENCSR888GEN,HEPG2_chromhmm_nar,gs://segway-testing/segway/e76fe910-7ab2-4636-9dae-d136b57cd865/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/e76fe910-7ab2-4636-9dae-d136b57cd865/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HEPG2_chromhmm_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHepg2HMM.bed.gz,HEPG2,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR888GEN,HEPG2_chromhmm9,gs://segway-testing/segway/36da7602-a0a3-481b-960d-c86e2b112c0e/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/36da7602-a0a3-481b-960d-c86e2b112c0e/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HEPG2_chromhmm9
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayHepg2.bed.gz,HEPG2,Segway,segway_nar,segway_nar_HEPG2,hg19,ENCSR888GEN,HEPG2_segway_nar,gs://segway-testing/segway/1f0b4fee-c739-4539-83e7-965c5a527fbc/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/1f0b4fee-c739-4539-83e7-965c5a527fbc/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HEPG2_segway_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHmecHMM.bed.gz,HMEC,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR888GEN,HMEC_chromhmm9,gs://segway-testing/segway/15cfe87c-67f6-48c3-8880-4032fd37f0c5/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/15cfe87c-67f6-48c3-8880-4032fd37f0c5/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HMEC_chromhmm9
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E119_15_coreMarks_mnemonics.bed.gz,HMEC,ChromHMM,roadmap15,roadmap15,hg19,ENCSR888GEN,HMEC_roadmap15,gs://segway-testing/segway/c93d288b-4429-4522-861e-34ca13bc5a71/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/c93d288b-4429-4522-861e-34ca13bc5a71/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HMEC_roadmap15
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E119_18_core_K27ac_mnemonics.bed.gz,HMEC,ChromHMM,roadmap18,roadmap18,hg19,ENCSR888GEN,HMEC_roadmap18,gs://segway-testing/segway/58ee573c-1b4f-443a-876a-01373912b042/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/58ee573c-1b4f-443a-876a-01373912b042/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HMEC_roadmap18
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E119_25_imputed12marks_mnemonics.bed.gz,HMEC,ChromHMM,roadmap25,roadmap25,hg19,ENCSR888GEN,HMEC_roadmap25,gs://segway-testing/segway/17b4b1ae-e493-48fc-a7de-94404772845a/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/17b4b1ae-e493-48fc-a7de-94404772845a/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HMEC_roadmap25
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHsmmHMM.bed.gz,HSMM,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR888GEN,HSMM_chromhmm9,gs://segway-testing/segway/f61c9dfe-2b48-453d-96fa-0fc11e3b7cd0/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/f61c9dfe-2b48-453d-96fa-0fc11e3b7cd0/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HSMM_chromhmm9
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmHuvec.bed.gz,HUVEC,ChromHMM,chromhmm_nar,chromhmm_nar,hg19,ENCSR888GEN,HUVEC_chromhmm_nar,gs://segway-testing/segway/2b3a9595-41f1-4ced-b297-b474997cc2a2/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/2b3a9595-41f1-4ced-b297-b474997cc2a2/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HUVEC_chromhmm_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHuvecHMM.bed.gz,HUVEC,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR888GEN,HUVEC_chromhmm9,gs://segway-testing/segway/7052731e-0096-4da3-a4c1-6f048e2c5672/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/7052731e-0096-4da3-a4c1-6f048e2c5672/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HUVEC_chromhmm9
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E112_15_coreMarks_mnemonics.bed.gz,HUVEC,ChromHMM,roadmap15,roadmap15,hg19,ENCSR888GEN,HUVEC_roadmap15,gs://segway-testing/segway/f261c76b-9ab0-45fb-967c-258823a24fe2/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/f261c76b-9ab0-45fb-967c-258823a24fe2/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HUVEC_roadmap15
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E112_18_core_K27ac_mnemonics.bed.gz,HUVEC,ChromHMM,roadmap18,roadmap18,hg19,ENCSR888GEN,HUVEC_roadmap18,gs://segway-testing/segway/ad01e817-a2e8-4535-a516-97996a1b9328/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/ad01e817-a2e8-4535-a516-97996a1b9328/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HUVEC_roadmap18
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E112_25_imputed12marks_mnemonics.bed.gz,HUVEC,ChromHMM,roadmap25,roadmap25,hg19,ENCSR888GEN,HUVEC_roadmap25,gs://segway-testing/segway/90122d35-7afb-4ec2-a7bb-7d54b1e76556/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/90122d35-7afb-4ec2-a7bb-7d54b1e76556/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HUVEC_roadmap25
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayHuvec.bed.gz,HUVEC,Segway,segway_nar,segway_nar_HUVEC,hg19,ENCSR888GEN,HUVEC_segway_nar,gs://segway-testing/segway/88a774fa-2e7e-47f7-97a4-b66248895b82/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/88a774fa-2e7e-47f7-97a4-b66248895b82/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,HUVEC_segway_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmK562.bed.gz,K562,ChromHMM,chromhmm_nar,chromhmm_nar,hg19,ENCSR612NLL,K562_chromhmm_nar,gs://segway-testing/segway/8a897442-a1e3-4485-9307-3587bca158e2/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/8a897442-a1e3-4485-9307-3587bca158e2/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,K562_chromhmm_nar
