concatenation_key	orig_label	(07) 5' flanking (1000-10000 bp)	(01) H3K9me3	(16) 3' flanking (1000-10000 bp)	(14) terminal intron	(09) initial exon	(03) H3K36me3	(10) initial intron	(04) H3K4me3	(08) 5' flanking (1-1000 bp)	(11) internal exons	(15) 3' flanking (1-1000 bp)	(12) internal introns	(13) terminal exon	(06) H3K4me1	(02) H3K27me3	(05) H3K27ac
segway_nar_HUVEC	Low2	-1.0041407900952093	0.7040904397618506	-0.6632930754276073	-1.0436146264837038	-1.331486003784648	0.29613098982006675	-0.9811459079308623	0.5856175309179719	-1.2550014414370627	-1.6238368271524521	-0.6053585878234877	-1.2286017078689915	-0.9351183429165595	0.2563027998545328	0.41346614779582536	0.21368876246524532
segway_nar_HUVEC	Gen3'	-0.0024705125499200798	0.329066038853183	1.3827868295637666	2.01667231885492	0.15295974652462	1.4668024719880637	0.2619268504842295	0.3757243406677885	0.11194031573654106	2.564210052748129	1.2911490631756362	2.560572180493027	1.6023231548308121	0.5239607970953586	0.2804874161035631	0.445971442567978
segway_nar_HUVEC	Repr4	-0.11988187751133048	0.4960002450294452	0.05210449660956262	-0.01567978205464941	0.1891497556054424	0.28970820799950486	0.05700111427771218	0.5151991591126908	0.0559504808594697	-0.3090887432237794	0.045518871402877054	-0.6152008099013674	0.31098434492722343	0.5112656111029924	1.0035747155186947	0.25074402496599474
segway_nar_HUVEC	EnhW2	-0.1986028428736647	0.4870311236454463	-0.04512743419157184	-0.16989928176382627	-0.36769160627216446	0.4409024881646702	0.42939198052676014	0.6019438661204187	-0.4224741352699277	-0.4681291925378247	-0.03469371039691221	-0.45044191045339493	-0.15347231446427775	0.731701842862068	0.541714985428011	0.4294583425075811
segway_nar_HUVEC	Quies	-0.6542353443300517	0.516097512833574	-0.44047640977883196	-0.7298209948277713	-1.0479355086568398	0.14520425572663345	-0.8270348877449615	0.428745169624607	-0.9633716981990603	-1.5597171609799505	-0.5183634027771008	-1.1236730966229738	-0.8219451048127763	0.1204030401358461	0.2572159612394855	0.11386788343474792
segway_nar_HUVEC	Faire	-1.1111995341895808	0.6793405758854155	-0.5783264267364904	-1.0279924427060798	-1.422954193152004	0.2759022456945048	-1.1100107847994076	0.6115795946069923	-1.442801781028313	-1.40972696710367	-0.5866538151918561	-1.1277421666438752	-0.9668411320625633	0.26060054798201276	0.3794871153142163	0.21327861301791803
segway_nar_HUVEC	Elon1	-0.2694104210457815	0.3985725788207281	1.0552909907573405	1.6083826793173237	0.027723746478734542	1.7909618319293457	-0.30661277359960715	0.4646916791749057	-0.048535519991432796	2.498989635752466	0.9124430513061671	2.25897941012101	1.34731293121138	0.5400948935255152	0.26162752724614485	0.5204910578247417
segway_nar_HUVEC	ElonW	-0.6512155462796091	0.4838415656861872	0.12329559815587296	-0.22682358174151304	-0.5904551020991843	0.8483585249946054	0.05794371387248802	0.5600261201056402	-0.620718396740126	0.04316424289340068	0.17056104198365837	0.17284861621638395	0.02049018754161258	0.6305200238788973	0.3278198534544519	0.4760878455915612
segway_nar_HUVEC	Enh	1.8580922046034858	0.4153275876074796	0.716106755472964	0.6378500232097568	1.1182462978691865	0.655062174392954	1.3319236259776446	0.9181683866852465	1.1061557397352548	0.22619745391247537	0.8968500754056349	-0.09238952469401224	0.7337981019458008	1.4215094138691466	0.7181726755167873	1.2289119211947568
segway_nar_HUVEC	CtcfO	1.2005652387869168	0.3893024839621479	0.8998493206888611	0.8120517168415808	0.8641789298974958	0.44011670021447874	0.4081272973420315	0.5368103478972394	1.390344680317003	0.9588635659408011	0.875449093473921	0.8255291728491592	0.9163949915418663	0.8355202248708562	0.491511662240044	0.3759317684583646
segway_nar_HUVEC	Repr1	1.2440848574977867	0.4250106415213973	0.864579616596547	1.0434140228146787	1.2380520941338495	0.3009166431951125	1.5571714071041258	0.553974276313113	1.0835805562229757	0.4205599606889808	0.7786023736736939	0.09994031926540034	1.001039303956106	0.7373094386051967	1.3759255666145274	0.2893656451540737
segway_nar_HUVEC	Elon2	-0.5378742679569337	0.4574579971747202	0.424753605825648	0.7336329204004504	-0.5432914860227878	0.8675173732920128	-0.4598241472060202	0.4487164170004256	-0.5587731130494632	1.0319505490245893	0.5615799773256479	1.340227468384775	0.45227290008530446	0.34274736945572915	0.28120774104443774	0.30581673260273645
segway_nar_HUVEC	PromF	3.4819457205937034	0.32107294815911175	1.1171502398167015	1.6085665418873552	2.9979619114803864	0.4740574984290641	3.4557903647385286	1.917659676595959	2.866939580580903	1.489204192954235	1.326714628096993	0.9932111590835088	1.4142503432057847	1.3280315866692014	1.0147869001140546	1.4746373915546676
segway_nar_HUVEC	Low3	-0.1468456956781142	0.608088208363808	0.04623938953918401	0.020755694344849904	-0.1411431912846512	0.2957257524153849	-0.14710563549075464	0.5072961959236215	-0.06783944399801542	0.0011150274865409516	0.14587469994597244	-0.017853976011298497	0.06740879600431669	0.3752690906421514	0.67215451285727	0.22488935952769626
segway_nar_HUVEC	Low1	-0.7474259921750904	0.7367097093393464	-0.544534717932332	-0.7579795662178077	-0.7202730698209452	0.26762178165480016	-0.8605536668570062	0.5027311316507761	-0.6778386930218413	-1.2610180112061362	-0.5185721143865881	-1.1638108308439958	-0.5169410408106271	0.259895139795815	0.5164972892887659	0.1908848669346587
