orig_label	(07) 5' flanking (1000-10000 bp)	(11) internal exons	(13) terminal exon	(14) terminal intron	(16) 3' flanking (1000-10000 bp)	(09) initial exon	(10) initial intron	(15) 3' flanking (1-1000 bp)	(05) H3K27ac	(04) H3K4me3	(12) internal introns	(02) H3K27me3	(01) H3K9me3	(08) 5' flanking (1-1000 bp)	(03) H3K36me3	(06) H3K4me1
13_ReprPC	1.1174173214174323	0.5056996091470566	1.201337208321858	1.2801321328070414	1.2990107575429202	0.8361570117173005	1.660217441774114	1.3067328615328544	0.506510154383	0.551330494606	0.3961298602402866	2.45618889602	0.6597393501	0.7517927785535001	0.486275527041	0.747482402531
6_EnhG	0.6967306158700107	2.841104761691051	2.348965082487864	2.6052438274682816	1.9181934293966347	0.7289981126325772	1.182132603361557	1.9917889709006604	1.26744264242	0.942920662797	2.56677191496224	0.457360182727	0.615804089701	0.6803434251036916	1.49223752178	1.69028830033
12_EnhBiv	1.8490083367959242	1.0398603372121078	1.2984694281403122	1.7462883759412093	1.252132160871021	1.5572761485706592	2.1786309237920025	1.197990216112679	0.660563010752	1.25082439217	0.7056389017434614	2.56761441011	0.601736488384	1.5450299726916783	0.500985383086	1.8064503819
3_TxFlnk	2.5000951829986624	3.3803065729987427	3.1470118891874863	3.017245416741764	2.8120276710634062	2.5463765428269793	2.9553942781383795	2.9811449436900506	1.3245988248	2.79179859006	3.081850081696739	0.444751057137	0.594234246109	2.4052818550684356	1.554491549	1.49967767273
1_TssA	4.591589118490469	1.1418075023349077	1.4561796002354859	1.465690798149027	1.2929437425897878	4.781031272128577	3.9078118103185484	1.3424776859006335	1.46817706073	3.30063924261	0.19835566502312768	0.437671804266	0.370263981619	4.810257728728016	0.366155253751	0.911313591932
4_Tx	0.0239369934847214	3.0319086729280444	1.7656134117681197	2.283490060540187	1.4355531734181142	0.08639811431957656	-0.26259640271394935	1.510109089444611	0.756107548349	0.355944537426	3.003963328010174	0.384294691681	0.598238604177	0.09289797365808222	1.66448926078	0.480550208788
11_BivFlnk	3.415560426406742	1.7440172690802307	2.0049325230350625	2.292162996368182	1.4016064628899514	3.2727271852466453	3.2704712474621336	1.6033361420283017	0.685389628466	2.86737706138	1.1055885774923062	3.05511858173	0.538604968413	2.99884488948991	0.396512449942	1.98159178535
10_TssBiv	4.2102026140498054	1.0633165210159388	1.5934328074486828	1.8559840424536285	0.8857808168145356	4.47711660342258	3.25847374101557	1.0530859327561688	0.622620298203	3.20100659963	0.3053811776839473	2.28368391069	0.381663499086	4.51462047959715	0.281104936168	1.23801669853
14_ReprPCWk	0.26110005313525186	0.11715888292877617	0.5632774346200405	0.7137320378957819	0.7151868166342557	0.13650009147565867	0.8213331996836863	0.6827833487523037	0.551723335966	0.369924381546	0.10367746368375405	0.872830679355	0.564832677256	0.11644384872052893	0.476697054773	0.572502821517
2_TssAFlnk	3.3921277782073926	1.8756754996270404	1.5799109707528034	1.8080518090730735	1.4109432069448056	2.548141668986789	3.456311585035394	1.3768317779114205	1.39342803029	2.73419444321	1.3732510647225138	0.666425629111	0.512227136016	2.433584669646722	0.548884120692	1.93788689498
15_Quies	-0.7048002403094572	-1.0188308518628617	-0.5025538805319131	-0.7088452200062819	-0.4654335644521378	-0.7317579699029777	-0.7630125868132047	-0.4741262534994306	0.47071307709	0.308289878267	-1.022900000087089	0.354511910176	0.525309981966	-0.7353529458429457	0.428452648639	0.376645405423
8_ZNF/Rpts	0.5171742176820691	0.5185076983182808	1.3634468948062182	1.170632300402739	0.9590945142129214	0.6729015143860317	0.1829181224574006	0.9882284874782202	0.547135298823	0.811170314147	0.3054549482049447	0.521098019166	1.7690488144	0.6320109710280369	1.04102070328	0.414346138573
9_Het	0.27898661613475834	-1.093084266688252	0.365670314125744	-0.05817114972462389	0.3646571805195173	0.27710984337518263	-0.07894324072175685	0.3853891123338768	0.369304859651	0.577135281294	-1.1588279096748482	0.40197783788	1.38671759724	0.29169275123182786	0.442518063999	0.280889486151
5_TxWk	-0.2643832656296432	0.9359085212365729	0.4986285377459517	0.6527423289476414	0.6676230101161496	-0.3673409732659721	0.5433792489139987	0.6506295315791096	0.66656462609	0.419575038903	1.1286666441824573	0.394943306887	0.541339896685	-0.37335806803079324	0.752715391098	0.601528192471
7_Enh	0.46167451697686374	0.15621095466460416	0.31078326630622644	0.3804337692216614	0.22813456028207352	0.46297803715805713	0.8716287975953411	0.16476923410682912	1.06921920074	0.919853886055	-0.09095998261304543	0.576662401379	0.568944555518	0.4934626343850665	0.616081453981	1.70918444679
