fold	reg	accuracy
0	16	0.6818181818181818
1	16	0.7727272727272727
2	16	0.3181818181818182
3	16	0.782608695652174
4	16	0.6363636363636364
5	16	0.6818181818181818
6	16	0.7391304347826086
7	16	0.45454545454545453
8	16	0.7272727272727273
9	16	0.6956521739130435
0	32	0.6818181818181818
1	32	0.6363636363636364
2	32	0.3181818181818182
3	32	0.6086956521739131
4	32	0.5909090909090909
5	32	0.5909090909090909
6	32	0.6521739130434783
7	32	0.5454545454545454
8	32	0.5454545454545454
9	32	0.5652173913043478
0	64	0.5
1	64	0.5
2	64	0.09090909090909091
3	64	0.5652173913043478
4	64	0.5454545454545454
5	64	0.22727272727272727
6	64	0.34782608695652173
7	64	0.5
8	64	0.45454545454545453
9	64	0.2608695652173913
