orig_label	(07) 5' flanking (1000-10000 bp)	(11) internal exons	(13) terminal exon	(14) terminal intron	(16) 3' flanking (1000-10000 bp)	(09) initial exon	(10) initial intron	(15) 3' flanking (1-1000 bp)	(05) H3K27ac	(04) H3K4me3	(12) internal introns	(02) H3K27me3	(06) H3K4me1	(08) 5' flanking (1-1000 bp)	(03) H3K36me3	(01) H3K9me3
PromF	1.1932553067739249	0.6928534354848123	0.47628682423339236	0.643194480547547	0.44613614991783695	0.8962348753045591	2.532821149343704	0.4784099719927679	0.838668777954	1.13582404284	0.45380929867025244	0.433618997853	1.38159986313	0.7755860952451932	0.539176685329	0.598787137125
CtcfO	1.1253211827898892	1.042711068511945	0.8869945251858838	1.018490507443765	1.1437478911804586	0.8519990055136242	0.45654872394517143	0.978788710738917	0.383711895796	0.61476666919	0.9734710949302139	0.520893211611	0.969703040719	1.1034839501702196	0.522962770644	0.548290666681
Enh	0.6162180106947425	0.11144262163323583	0.6865544357056872	0.538625187413077	0.7495962949700198	0.3445579268771515	0.33354163822867444	0.7037205093110657	2.77450253129	1.21137701671	0.14893865676135262	0.31161395235	2.2891164237	0.46227496993715744	0.69353563966	0.643664142881
Low	-0.09132664822350844	0.09793564769585877	0.29018904693459996	0.22888612740460734	0.4112144519602053	-0.15152090231174067	0.25533591230629166	0.39507863630937196	0.281920666256	0.594512250313	0.1428213139260166	0.471542363496	0.495103051117	-0.18530464184164852	0.421586909105	0.506902033114
PromP	4.2050948673284365	1.3550502689054307	1.6634315873436025	1.9567441962926793	1.0894339001493676	4.168542765753086	3.1633572418741522	1.243566854224026	0.689167754309	1.62414191934	0.825276307103914	1.07106673598	1.62213367574	4.258771675372557	0.526995962314	0.555949152612
TssF	1.7217385177371787	1.5724446883541248	1.31211708178847	1.4507543528916513	1.2532640238052337	1.1583530482330289	2.975663401637088	1.3099082428419357	2.15179518152	1.76311281674	1.2953082325715448	0.369995780609	1.73134516417	0.9252145872059441	0.748072145051	0.621011135597
Tss	4.537854667936487	1.2004998070129396	1.5975196320737564	1.5595217754569775	1.444427504127914	4.7300662878704385	3.789142963002298	1.4615971005912234	3.04885811591	2.15673076049	0.3584416913031774	0.338647639961	1.16952175775	4.754219443528083	0.520242781635	0.539166144618
Ctcf	0.4170100868681949	0.37378348147929635	0.5616559583812789	0.3649647194394485	0.3500667692057564	0.5053850260778191	0.09371191303456784	0.559107994518677	0.253868541723	0.612290469449	0.2721790216655641	0.660174883311	0.572241768912	0.5482353144220322	0.442327291147	0.508956084124
EnhF	-0.09722112629040429	-0.5317794585980429	0.017735817361617286	-0.07492800572546066	0.13724952212455144	-0.21385309590789225	0.27163979485821543	0.13903338601975362	2.18176057313	0.967233009718	-0.39921146295188664	0.323416036485	2.08372282033	-0.2668365164178538	0.594371055939	0.747057568009
Pol2	1.4161741757609547	1.8307806835692084	2.2013285609375783	2.1514968116724766	2.3750557798251193	1.608375946530117	1.4561563355702751	2.290639926331787	0.357804428822	0.544258468995	1.8192376667339982	0.330352881475	0.554463351629	1.8176778800715778	0.772168976099	0.366875207646
