orig_label	(04) H3K4me3	(12) internal introns	(08) 5' flanking (1-1000 bp)	(15) 3' flanking (1-1000 bp)	(14) terminal intron	(06) H3K4me1	(05) H3K27ac	(02) H3K27me3	(09) initial exon	(13) terminal exon	(07) 5' flanking (1000-10000 bp)	(10) initial intron	(03) H3K36me3	(01) H3K9me3	(16) 3' flanking (1000-10000 bp)	(11) internal exons
11_Weak_Txn	0.496952067890835	0.46519049400235674	-0.42474531952591754	0.2892748775236596	0.3101835681301092	0.5549700866173414	0.37653952306087213	0.41638305427808875	-0.4118731134502191	0.20299085789089552	-0.3484283952790934	0.26034543291147977	0.61684711545592	0.4087529305541575	0.32092550207184894	0.3731890656053636
9_Txn_Transition	0.5865358410238951	1.3283975787989057	-0.20632820825574494	0.9951791764809904	1.183726541453309	1.1202508352417389	0.7689597870582711	0.3420946244124185	-0.12097187185901864	1.0533754190129774	-0.24765984042349726	1.021273824938151	1.2883497030789723	0.3682482964654802	0.9857174742850343	1.403943084049739
6_Weak_Enhancer	0.8247849563566891	-0.39211599629595123	0.9746823217169543	0.44719954834778813	0.24499987302715578	1.0340834551309348	0.610184441311268	0.7162317546156575	0.7794531123601537	0.3655485654622633	1.3193634530033218	1.4309615360164782	0.4369372413944992	0.45358355034775705	0.29821624395677404	-0.1451492291751127
5_Strong_Enhancer	0.5803005498702831	-0.12533843764216612	-0.18537084662598427	0.19231287505989855	0.17699661504076228	0.9255787608050368	0.6059379027549607	0.6110908551756601	-0.24691592465368853	0.1856390259834225	-0.06476481859599342	0.1386472392715831	0.5853846090929181	0.45966236229810137	0.20518491657363808	-0.12061377955163272
3_Poised_Promoter	1.1554382600948243	0.16157247371308497	4.068919710473653	1.0908403492076815	1.7400915661966143	1.0400425610360327	0.3957992771819534	1.4537272600934956	4.070566673990976	1.7242088014153203	3.803865338229853	2.9453771666934516	0.19978702327369977	0.31071564225275905	0.9020535294435151	0.9237911577165064
8_Insulator	0.5605130388983601	0.340802988915727	0.6855899877611416	0.6327292941563611	0.44725739353971833	0.776311746204634	0.35170401198443435	0.584209817125302	0.5498033426730147	0.6405926359547338	0.5954274741047076	0.09250086210295391	0.38259220260504934	0.457474210308981	0.5279357770538663	0.42847478279555207
10_Txn_Elongation	0.49691836220032737	2.238570913662788	-0.29887954431352654	1.0508775731670332	1.4929020666211443	0.4698233809847522	0.45861628913701685	0.23164551232470945	-0.2896402524548563	1.1429709780133743	-0.31400265536269845	-0.3576995479195027	1.530795264403733	0.38860835699682167	1.0096234385220046	2.1838481306364335
13_Heterochrom/lo	0.5155519995964412	-1.0603794760008067	-0.6913552884466241	-0.44648193070069087	-0.6610112341570636	0.2734427984004944	0.1860089080258607	0.523074095874256	-0.681974598969834	-0.46853425218801875	-0.6590107755078025	-0.7454941278025261	0.2318521663676073	0.6420411444837572	-0.4356575573490229	-1.0413598485428366
7_Weak_Enhancer	0.5515792283637347	-0.35792465839309806	-0.07131161190037022	0.1282674117532551	0.16164077239495772	0.8345793432468888	0.4669965761838768	0.6821420736753119	-0.09553799932920645	0.07180827557032646	-0.029907535109061748	0.38323886802755913	0.4403240869801548	0.4362527809881621	0.1589943966090722	-0.356702808674046
2_Weak_Promoter	1.763341158007438	0.9792957865344275	4.034135301501155	1.2318893213970474	1.6987149670152144	1.3040655575129274	1.2947120214487313	0.9936978112549718	3.647662405628306	1.5443027818593191	3.916348508091991	3.4182168203657057	0.4412269558476308	0.3049974121920015	1.2228542846409483	1.5022399459987292
1_Active_Promoter	2.5657908885968186	-0.09590360024969197	4.707122509345337	1.2577630641684558	1.4222707108464925	0.7475878636703269	2.5882209155523523	1.274071500377661	4.899311109391769	1.5354682939065676	4.51577138022174	3.95883341556632	0.3337776924722561	0.27091859029605064	1.1540989216965676	1.073164720172086
12_Repressed	0.4959434736541191	-0.03845204357905474	0.49201944546786613	0.5201180484247777	0.5414021777262709	0.519302534138165	0.22858960991532448	1.0903151114078709	0.5094085903699358	0.49221630610523176	0.5836938674539803	0.8109363625443688	0.2574721819777064	0.4029502680515277	0.5165079077639938	0.062421036095732206
4_Strong_Enhancer	0.8510270532943993	0.17167563588776186	1.1334743249034265	0.7678181183222911	0.8633185899454412	1.342633445997109	1.0618158726115308	0.7481600851259584	1.1492916232730976	0.7994917660231079	1.5478432121442458	1.4672731650644497	0.6761488642897332	0.40341296185902076	0.7745743772843753	0.45412215717530147
15_Repetitive/CNV	0.4213354049758953	-0.9739856783636615	-0.15529861266145228	-0.43075923201291283	-0.579893776684316	0.19970793743247334	0.16532449076375455	0.2974511355589508	-0.2765741319998208	-0.5161481187184416	-0.2313667271254998	-0.668498459766506	0.33696121653415284	1.067981824771623	-0.49945401514763704	-1.0133100753342452
14_Repetitive/CNV	0.3681429933416489	-0.9261901998124302	2.005021960172325	0.9175871215641854	-0.06269906951856531	0.23452183477178692	0.14636091512462773	0.32047657862315093	1.7789039019377209	1.2662029609334635	1.7185775663693599	0.3517519606837465	0.21222857995095382	0.7753399633678374	0.7933630107214311	-0.6062759316978857
