orig_label	(04) H3K4me3	(12) internal introns	(08) 5' flanking (1-1000 bp)	(15) 3' flanking (1-1000 bp)	(14) terminal intron	(06) H3K4me1	(05) H3K27ac	(03) H3K36me3	(02) H3K27me3	(09) initial exon	(13) terminal exon	(07) 5' flanking (1000-10000 bp)	(10) initial intron	(01) H3K9me3	(16) 3' flanking (1000-10000 bp)	(11) internal exons
Low5	0.6217835505299125	-1.2239992251862004	-1.1867879012567024	-0.5632950549583833	-1.0343734183933362	0.29516352730563333	0.16995752105010298	0.22011819763643756	0.44573028619324	-1.3282141406241694	-0.9337136926904273	-0.9228876011022784	-1.1156321048333198	0.5204378538356338	-0.6182030949377634	-1.55461382682757
EnhWf	0.8063402083743849	-0.16435797135575705	-0.19068701588585887	0.18145287959779108	0.022388727210462346	1.471901758785301	0.9241946650718023	0.49105637171645344	0.3671331869521595	-0.1136845542901584	0.015702413887638503	0.05723283562299833	0.9069469914596602	0.6591627429406738	0.09984037490060985	-0.20186875247916236
Low2	0.6750593613633729	-0.530533666410408	-0.46567023099147564	0.004167138295255123	-0.36206844253088866	0.7648122591360198	0.378785677437089	0.41373451074761236	0.4117474277384334	-0.4479118408248955	-0.1407893528314944	-0.42406440005700297	-0.13954147673851489	0.590175691965259	-0.13366831187554956	-0.5993763543176446
Low3	0.6333373519144797	-0.6676885990053956	-0.4366556098137575	-0.13448601638762336	-0.30619994207776957	0.6908312961293823	0.34280697549230643	0.4033373117874833	0.4823707807906229	-0.40409661338611225	-0.1070697424418689	-0.45571823145991275	-0.28587713965712813	0.5292446609333027	-0.11449842027871875	-0.7627205033688899
Gen3'	0.5050340639533046	2.7030546724985673	0.9157000831519629	1.7182421877292404	2.454454011424734	0.5646353392944438	0.4148341756020816	1.6571281522670984	0.2669330384301493	0.8871601357083934	2.175198775192477	0.5878195339316526	0.6094883904201425	0.35084856252557145	2.1179190684781153	2.9145303781747147
Repr3	0.6523881904219504	-0.5495508434790434	-0.05183228678714547	-0.17788321501174106	-0.2556854078110544	0.3610299132826216	0.19249658270171827	0.4393267257395829	0.9937918124167808	0.05355301899083711	0.1267997747628242	-0.24279421988220476	-0.23521817442419457	0.48236659983924773	-0.2455609609698407	-0.20820582476555077
CtcfO	0.6739449632484091	0.862794476811336	2.6243863262210665	1.0914371576299893	1.1396199004639633	1.0419908579795938	0.5236772125079097	0.4798921740640175	0.4564268668222972	1.5525672742343495	1.00806956706569	2.2359475574734358	0.9333984819754423	0.4787557133799371	1.2155942034702947	1.0083509707821845
Enh	1.3655076164198947	0.29507342716231644	1.7463665361799374	0.9060459693029359	0.8043913484456613	2.2575030882484475	2.826046519437669	0.7531718706092552	0.3330776165194791	1.3451992517507678	0.9122509573522506	1.9344028289831243	1.0352081058923412	0.6095554492182649	0.960359161816786	0.49514130253989364
Low6	0.45789306803867275	0.16534444285237931	0.16324873368891166	0.3399752807464823	0.2899564027071012	0.2285276767465508	0.13047354752333654	0.28521097605519674	0.4420660304788892	0.10803341854529772	0.2661341998926521	0.11888499696767382	0.17581540361734	0.3539806003737058	0.26524004360002473	0.08585859292663629
Repr4	0.6490974897309696	-0.7046468381896748	-0.24300712052658072	-0.26331826084348914	-0.3572247710416241	0.277823927538574	0.16112715876250194	0.41382109636146436	0.8683267543748331	-0.18307074013304978	-0.0003623537912404662	-0.4693239295443243	-0.4701071002913737	0.39799539343967444	-0.31284066515745623	-0.4969651504685985
