old	new
16_EnhW1	LowConfidence
25_Quies	Quiescent
4_PromD2	LowConfidence
6_Tx	FacultativeHet
14_EnhA2	LowConfidence
19_DNase	LowConfidence
24_ReprPC	FacultativeHet
21_Het	Quiescent
22_PromP	FacultativeHet
15_EnhAF	RegPermissive
7_Tx3'	FacultativeHet
17_EnhW2	RegPermissive
20_ZNF/Rpts	FacultativeHet
10_TxEnh5'	RegPermissive
12_TxEnhW	RegPermissive
1_TssA	Transcribed
5_Tx5'	Transcribed
18_EnhAc	FacultativeHet
2_PromU	Bivalent
8_TxWk	LowConfidence
3_PromD1	LowConfidence
13_EnhA1	RegPermissive
23_PromBiv	Bivalent
9_TxReg	Transcribed
11_TxEnh3'	LowConfidence
