reg	orig_label	true_label	predicted_label	Bivalent	ConstitutiveHet	Enhancer	FacultativeHet	Promoter	Quiescent	RegPermissive	Transcribed	Unclassified
16	4_Tx	Transcribed	Transcribed	0.0	0.044134848151984006	0.0025	0.06677109440267334	0.002564102564102564	0.050977218687745	0.02832637646591135	0.7820658548577766	0.02266050486980719
16	5_Tx5'	Unclassified	RegPermissive	0.03103448275862069	0.06949033944333302	0.1511780052477727	0.015608672936259144	0.005555555555555555	0.2380271994956813	0.32089910387324183	0.096996996996997	0.07120964369253882
16	8_EnhG2	Unclassified	Transcribed	0.0069711538461538465	0.016684555754323198	0.10532861774241084	0.026495726495726495	0.06999465811965813	0.0025	0.24250510004118664	0.43299447825259774	0.09652570974794313
16	2_PromU	RegPermissive	Bivalent	0.3263822311201343	0.0	0.0	0.15125366568914958	0.25119714514875807	0.0	0.21048513986013986	0.021875	0.03880681818181818
16	12_ZNF/Rpts	ConstitutiveHet	ConstitutiveHet	0.0	0.16798217468805704	0.09083333333333332	0.1618510101010101	0.04	0.1266916716181422	0.16731060606060605	0.10450703109526638	0.14082417310358486
16	Repr3	FacultativeHet	FacultativeHet	0.040757575757575756	0.10332763532763534	0.03333333333333333	0.5201315721315721	0.004545454545454545	0.1773219373219373	0.05454545454545454	0.007703703703703704	0.05833333333333333
16	Repr1	FacultativeHet	FacultativeHet	0.17903714565004886	0.04606837606837606	0.0	0.5468519562874402	0.03738595633756924	0.018518518518518517	0.08241582491582491	0.0	0.08972222222222222
16	Repr2	FacultativeHet	Bivalent	0.3305998884627917	0.026068376068376066	0.0	0.2221938366293205	0.18689790272451562	0.00754985754985755	0.15628933566433567	0.0	0.07040080290080289
16	CtcfO	Unclassified	RegPermissive	0.07252632425046218	0.05458624708624708	0.0810764809902741	0.09487732095490717	0.0	0.04218209950968571	0.33946728558797523	0.1125231090748332	0.20276113254561534
16	12_Repressed	FacultativeHet	FacultativeHet	0.06575757575757575	0.07754985754985755	0.0	0.5477207052207053	0.017045454545454548	0.07182539682539682	0.0313047138047138	0.10555555555555556	0.08324074074074075
16	Low1	Quiescent	Quiescent	0.0	0.20672476714834898	0.002325581395348837	0.13991414903179605	0.0	0.6041668602930501	0.006818181818181818	0.020764705882352942	0.019285754430921353
16	7_EnhG1	Unclassified	Transcribed	0.0069711538461538465	0.01001788908765653	0.09782861774241085	0.026495726495726495	0.029994658119658117	0.0125	0.23667176670785328	0.5063278115859311	0.07319237641460978
16	6_EnhG	Unclassified	Transcribed	0.0069711538461538465	0.01001788908765653	0.09782861774241085	0.026495726495726495	0.029994658119658117	0.0125	0.23667176670785328	0.5063278115859311	0.07319237641460978
16	EnhPr	Promoter	RegPermissive	0.0038461538461538464	0.013096475596475596	0.2851949146949147	0.0670405982905983	0.008412698412698412	0.00925032175032175	0.49560962610962617	0.0598887348887349	0.057660476410476405
16	15_Repetitive/CNV	ConstitutiveHet	Quiescent	0.0	0.19479386145273736	0.002325581395348837	0.1614925444925445	0.0	0.5744546335219998	0.01052188552188552	0.01858543417366947	0.0378260594418146
16	5_Strong_Enhancer	Enhancer	RegPermissive	0.0030303030303030303	0.025083655083655086	0.25586036036036036	0.01985930735930736	0.002857142857142857	0.04725356850356851	0.44942234117234114	0.11386568386568388	0.08276763776763776
16	PromF	RegPermissive	RegPermissive	0.13026175213675212	0.010833333333333334	0.06694444444444445	0.0020833333333333333	0.2747200052363096	0.004166666666666667	0.3898919800006756	0.05354166666666667	0.06755681818181818
16	Low1	ConstitutiveHet	Quiescent	0.0	0.22915975532801802	0.002325581395348837	0.17927312339077045	0.0	0.501722779551097	0.012373737373737374	0.020764705882352942	0.0543803170786755
16	EnhF2	Enhancer	RegPermissive	0.10750291375291376	0.025083655083655086	0.22478893178893178	0.004166666666666667	0.10236908924408925	0.01550032175032175	0.43653085765585764	0.024774774774774775	0.059282789282789294
16	12_TxEnhW	RegPermissive	RegPermissive	0.0	0.01644729144729145	0.2589714714714715	0.023394660894660895	0.008412698412698412	0.10407175032175031	0.4464122401622402	0.10014514514514514	0.04214474214474214
16	Elon2	Transcribed	Transcribed	0.0	0.024615328632464496	0.06286036036036037	0.01637426900584795	0.002564102564102564	0.040187857898384215	0.1365982847378196	0.6759483737402954	0.04085142306072539
16	7_Weak_Enhancer	RegPermissive	RegPermissive	0.034064785788923725	0.028929808929808933	0.21533838233838237	0.06521739754498376	0.0	0.04415012022770644	0.4599897909639289	0.033865683865683865	0.11844403034058207
16	Low6	ConstitutiveHet	Quiescent	0.0	0.2111037352169028	0.0	0.11723995902715453	0.0	0.6088208886105579	0.009259259259259259	0.006458333333333332	0.047117824552792245
16	PromF	RegPermissive	RegPermissive	0.11648829431438128	0.012054865424430641	0.19478482065438585	0.009523809523809523	0.14935789049919485	0.008968253968253967	0.4550297729645555	0.0078006936702588875	0.04599159898072941
16	Repr	FacultativeHet	FacultativeHet	0.093089823220258	0.10987859534057524	0.0038461538461538464	0.4274311623336013	0.0023809523809523807	0.04090777849601379	0.03877464564421086	0.19375896700143475	0.08993192173679979
16	Tss	Promoter	RegPermissive	0.19511466794075488	0.059161490683229824	0.05743032329988852	0.030238095238095238	0.1937713011626055	0.06202898550724638	0.22802834846313105	0.1455255613951266	0.028701226309921956
16	5_Tx	Transcribed	Transcribed	0.005	0.08705631642901063	0.0	0.025592334494773515	0.0	0.016115196078431374	0.002040816326530612	0.821310211183318	0.04288512548793587
