fold	reg	accuracy
0	16	0.45454545454545453
1	16	0.5909090909090909
2	16	0.6363636363636364
3	16	0.8260869565217391
4	16	0.45454545454545453
5	16	0.5909090909090909
6	16	0.6086956521739131
7	16	0.7272727272727273
8	16	0.7272727272727273
9	16	0.4782608695652174
0	32	0.5
1	32	0.45454545454545453
2	32	0.45454545454545453
3	32	0.6956521739130435
4	32	0.45454545454545453
5	32	0.4090909090909091
6	32	0.6086956521739131
7	32	0.7272727272727273
8	32	0.5
9	32	0.4782608695652174
0	64	0.4090909090909091
1	64	0.45454545454545453
2	64	0.3181818181818182
3	64	0.6521739130434783
4	64	0.36363636363636365
5	64	0.2727272727272727
6	64	0.6086956521739131
7	64	0.5
8	64	0.3181818181818182
9	64	0.391304347826087
