orig_label	(09) initial exon	(10) initial intron	(11) internal exons	(07) 5' flanking (1000-10000 bp)	(13) terminal exon	(14) terminal intron	(08) 5' flanking (1-1000 bp)	(15) 3' flanking (1-1000 bp)	(16) 3' flanking (1000-10000 bp)	(12) internal introns
5	-1.4857427190239456	-1.1962452841042044	-1.6397165922136185	-0.8487716452378781	-1.2924027358738612	-1.1567018607659445	-1.2255355838052273	-1.0023904612955445	-0.8131487907898416	-1.4627385507511712
2	1.2150188461050728	0.7590884983630312	0.9710139711164296	0.4896083747489174	1.1423785991188717	0.8085961120384247	0.6481812691826622	0.5573720028393343	0.5711716696351145	0.6256799970767158
4	-0.4388199415606938	-0.2597032247998024	-0.9577279304100054	0.10151717596163784	-0.12766538129455338	-0.3190102940579147	-0.2264678935018801	-0.14430313356900212	-0.03932493447486653	-0.9416447772318004
0	2.3817285996548336	2.3166919503278756	0.8134011947678139	0.7683763126711789	0.9789922535613723	1.1219928559065693	2.1877883742014643	0.6792088329355616	0.8081612941398563	0.34955814050226947
15	-1.1618884336727984	-0.745004779476313	-1.142403488146402	-0.3172186800548874	-0.6689956352418628	-0.8065197301370989	-0.7271099356303571	-0.40554095313106475	-0.3868301507070957	-1.02149992674606
8	-0.6740443351591208	-0.2564010798627515	0.005796633295795892	0.16376977849289034	-0.05357009895556572	-0.03196862709808988	-0.33522273748460635	0.1629036468522546	0.15886987713819178	0.1572956313290699
10	3.8403622190076074	2.456087450520375	0.4954368549307027	0.6983563807548754	1.072865821238285	0.9857909669480119	2.952833933803033	0.8614725100758805	0.7953009519722555	-0.05794141767611137
7	0.5229072940393841	0.7890508174919499	-0.6466983381115737	0.3589022346994737	0.13871351032486223	0.03403401034057336	1.077163355056701	0.13579739521540293	0.20451630442551585	-0.822340616977995
13	0.5685162544165222	0.9929370554189366	1.8425335417080861	0.6727785045750178	1.394956486296947	1.4108941486688693	0.3544507734251567	1.1528562091884451	0.8355115878035098	1.678911271793416
3	0.5629711235565305	0.7801408040499974	-0.07775326537247639	0.3731281717572055	0.35006678887185244	0.24097143831255466	0.6723341384247451	0.16342840703133232	0.3370422776022897	-0.30725581950327907
11	0.20493855489873028	0.16846655903785135	-0.1641143266746231	0.30841535723577335	0.36106655730189735	0.18030109130698918	0.01863723434993409	0.19660220219527713	0.3233593850806745	-0.19967025504688238
1	-1.591795703901405	-1.0333425196250583	-0.8457098586370642	-0.46276254803721845	-0.8723023425874545	-0.9044409315021431	-0.95755104838043	-0.43378879159060346	-0.4723884431203926	-0.673834463912162
12	-0.3372984354645251	0.1914981656937529	-0.7879112938444613	0.05985969893095423	-0.24059674062495082	-0.4055293479138533	0.132517652578528	-0.16294736858232842	-0.06156732377590965	-0.8200747971569684
9	4.585830818285332	2.3209377537264677	0.15074959698100604	0.7437000410836616	1.1592289619804077	0.7203300599946441	3.449202246742225	1.0444671123963294	0.9275349235694341	-0.4673926500387444
14	-0.1590096239875572	0.12729449279016375	1.5255588233208899	0.4781408620157091	0.9272636508697565	1.2585051610380769	-0.16894790941204757	0.9784574010231729	0.659999449553929	1.7713155242948786
6	0.4345581983980898	0.007169292826698861	3.1732274311651985	0.9449913947866797	1.9760201792289542	2.468650056769306	0.20550906088283857	1.5251368978984057	1.1500204672717087	3.09176242478418
