fold	reg	accuracy
0	16	0.5909090909090909
1	16	0.45454545454545453
2	16	0.5909090909090909
3	16	0.7391304347826086
4	16	0.7272727272727273
5	16	0.6818181818181818
6	16	0.8260869565217391
7	16	0.5454545454545454
8	16	0.6818181818181818
9	16	0.5652173913043478
0	32	0.5
1	32	0.4090909090909091
2	32	0.5909090909090909
3	32	0.7391304347826086
4	32	0.5
5	32	0.5909090909090909
6	32	0.6521739130434783
7	32	0.36363636363636365
8	32	0.5909090909090909
9	32	0.5652173913043478
0	64	0.3181818181818182
1	64	0.3181818181818182
2	64	0.2727272727272727
3	64	0.6086956521739131
4	64	0.5454545454545454
5	64	0.6818181818181818
6	64	0.4782608695652174
7	64	0.18181818181818182
8	64	0.5
9	64	0.4782608695652174
