old	new
TssF	Transcribed
Gen3'	Transcribed
EnhW	Transcribed
Repr	LowConfidence
FaireW	Quiescent
DnaseD	Transcribed
CtcfO	FacultativeHet
DnaseU	FacultativeHet
Enh	FacultativeHet
H4K20	Quiescent
EnhWF	LowConfidence
ElonW	Transcribed
Pol2	LowConfidence
Low	Quiescent
Ctcf	FacultativeHet
EnhF	LowConfidence
Quies	Quiescent
ReprD	Transcribed
Tss	FacultativeHet
PromP	Transcribed
ReprW	Quiescent
PromF	FacultativeHet
Gen5'	Transcribed
Elon	Transcribed
Art	Transcribed
