concatenation_key	orig_label	(07) 5' flanking (1000-10000 bp)	(13) terminal exon	(09) initial exon	(04) H3K4me3	(02) H3K27me3	(08) 5' flanking (1-1000 bp)	(03) H3K36me3	(01) H3K9me3	(11) internal exons	(12) internal introns	(14) terminal intron	(16) 3' flanking (1000-10000 bp)	(10) initial intron	(15) 3' flanking (1-1000 bp)	(05) H3K27ac	(06) H3K4me1
roadmap25	16_EnhW1	2.0505887640652847	0.9386391999961181	1.5740206365236442	0.955510747963	0.725842368163	1.6728429876144717	0.454617765256	0.551688261627	0.5215094351509039	0.14404923146803472	0.9303962543377456	0.8141479377238574	1.6498678990277658	0.8411534977408327	0.911306346567	1.48447016956
roadmap25	18_EnhAc	0.5692290929422588	0.24472077973213133	0.5086029619931006	0.54622576609	0.627591260103	0.5265903432704898	0.47190295486	0.507499019439	-0.4325135291086428	-0.3432671550088083	0.2545826514441883	0.38899715137880614	0.5396734243512674	0.38974567975566643	0.509909361409	0.742183785458
roadmap25	4_PromD2	0.8853888229141982	0.980532093393616	0.8416841081086383	1.85295992899	0.587195576159	0.38850122694169886	0.749755988131	0.491025607163	1.6096324345367807	1.186657792066595	1.3002095781462477	0.7576409963252398	3.55628513463298	0.898974196206824	1.31377637589	1.48113012534
roadmap25	6_Tx	0.19198698669885647	1.3847369329061698	0.4393883690999516	0.549726326318	0.32195611746	0.3686302662883801	1.76902713942	0.509506233003	2.5689265913683674	2.3751270375210503	1.4703594506555493	1.0447901271617301	0.6543497090208422	1.1313093520424664	0.712956826178	0.842666321972
roadmap25	14_EnhA2	0.8426644193608864	0.4774941430640737	0.6812808330799327	0.755542202633	0.63292839791	0.7648220354822696	0.539955112462	0.542320883053	-0.014281475887420802	-0.18199744860381753	0.5409623456703058	0.5912032231498244	0.8047787472798138	0.5421153484817812	1.09159520545	1.40402974274
roadmap25	19_DNase	0.6684572074708178	0.3558456790279773	0.6685128826103507	0.560460364445	0.652163135723	1.0135121091972652	0.421929277288	0.569485466166	-0.3469520038495476	-0.4849312811092109	0.0443161722933349	0.26064505533282917	-0.018427615399236177	0.2887045637669397	0.475747987922	0.741368830468
roadmap25	24_ReprPC	1.226459465984133	1.060650912011689	1.0971408211138636	0.507898397041	1.53382651247	1.0903028159222197	0.348425189322	0.492886298242	0.7706595758414391	0.5624845961797178	1.2199375033216964	1.0112418571109878	1.5666547839622489	1.033515073041373	0.358959718066	0.716431424818
roadmap25	21_Het	0.3821249421547783	0.647427401200586	0.5353145328641279	0.572074553112	0.514823221566	0.501083660225804	0.403316164276	1.33107152455	-1.3632424345583727	-1.4056025294858414	-0.08924375477504037	0.5440380169562627	-0.1782837961053848	0.5878926270671238	0.294431536618	0.286468507496
roadmap25	22_PromP	3.18191003520846	1.1050971098914029	2.9982980698048745	0.942319270473	0.554555976172	3.391663808888808	0.39645308809	0.512059364594	0.5880703206631358	0.20812245641175148	1.0656129057537913	0.8745096604136571	2.361614293839663	0.9983521347796065	0.826892751233	1.04081544337
roadmap25	15_EnhAF	0.34193542686534567	0.33255547905549254	0.1649226212725881	0.654475546797	0.65561535551	0.21810449060729245	0.518834326273	0.514855182616	-0.34065942048274583	-0.28626575590204334	0.48720538290066495	0.46398223554982926	0.4758193007550625	0.40479098655700024	0.784520355153	1.11520867334
roadmap25	7_Tx3'	-0.145909608342944	1.6778494134118882	-0.05603353841008286	0.470924066677	0.314287715566	-0.0645867605888451	1.52896206905	0.455188581859	2.9156355477641753	2.8477384672317374	2.137726472657394	1.359906429826274	-0.6304051925072137	1.4232220291694955	0.503164998544	0.482305454571
roadmap25	17_EnhW2	0.19820922933607352	0.2919995895183092	0.09410909676666732	0.651724377059	0.68355520823	0.11144453337090619	0.522341117374	0.518756530098	-0.07756225979609103	-0.11635226584697433	0.3931379525987833	0.3897925067501781	0.5019068725664951	0.3277295374469048	0.658111104078	1.11571823989
roadmap25	20_ZNF/Rpts	0.2855582968560475	1.8782962424540426	0.4052272985381077	0.645649334881	0.369863646794	0.43717531544385424	1.27846700171	1.52219520651	1.1667215841468384	0.8846255135665808	2.067030211910578	1.3370390415273994	0.444432459881168	1.383605932039748	0.384894517386	0.349481825113
roadmap25	10_TxEnh5'	-0.37448722442705434	0.316096292961729	-0.35106197894223834	0.725011182463	0.414129746282	-0.3477904265938451	1.09241741215	0.491989241764	0.5680647919413033	0.4239566849199123	0.44913963556718867	0.20660575293497474	1.2268436656024322	0.22084020285152442	1.18096702826	1.51853873156
roadmap25	12_TxEnhW	-0.5306767136548748	-0.07317897651567384	-0.39846101158917707	0.819951813816	0.39065028785	-0.4784346016194745	0.956841790915	0.517053618059	-0.16210813828441403	-0.3403078731935598	-0.19822938135088763	-0.17828354803396398	1.9571686804632316	-0.14611416847621583	0.951454724374	1.41800176247
roadmap25	1_TssA	5.340836751482231	1.4415878702298945	5.7231886149496995	2.58889099105	0.494415621782	6.262373758095049	0.177830235124	0.23498530381	0.3240136588072759	-0.8045495960959798	1.0362192501403156	1.2954572865952543	3.3308191625922987	1.20947566929928	1.77557350257	0.927056285323
roadmap25	5_Tx5'	-0.5875521054303044	-0.5342508387477176	-0.657779323136042	0.535061421039	0.310789933612	-0.6554020146573095	0.8311626586	0.48271869558	-1.3877490871489082	-1.1556604168587525	-1.0575845916834992	-0.40457762466984465	1.3487091928697064	-0.4356087982116273	0.576599614409	0.815966302413
