label	Bivalent	ConstitutiveHet	Enhancer	FacultativeHet	Promoter	Quiescent	RegPermissive	Transcribed	Unclassified
TssF	0.19943049434661692	0.022946086958277358	0.042928592291010884	0.1778763580312241	0.06579585228825707	0.01048998659292777	0.24111717427553406	0.11700688926656422	0.1224085659495876
Gen3'	0.04404807944258072	0.05184358942384248	0.08036836153735907	0.02039185422707095	0.12720438130917866	0.025311126056809168	0.3207330952514338	0.18118401651310062	0.14891549623862446
EnhW	0.028078699264844773	0.0656025699068235	0.09512196516865812	0.12986895403121676	0.0375944047751155	0.20477158970226525	0.3336930926267089	0.012735892762208552	0.09253283176215871
Repr	0.02215300162800163	0.08673556775440418	0.09126727499366817	0.13769371576017994	0.035619406112500744	0.18938459593532012	0.13178396722265215	0.19731295403715937	0.10804951655611358
FaireW	0.0020535714285714285	0.1328490980604322	0.0016688311688311688	0.1859507900929318	0.009341669034763663	0.5316570538055686	0.06475093580521969	0.021734376571141273	0.0499936740325403
DnaseD	0.10318583592626193	0.03959421885976604	0.05737017669741454	0.2563149532598987	0.048382490995167664	0.013473771326712503	0.2313027373869008	0.1101893646366994	0.1401864509111783
CtcfO	0.07611695063423089	0.03306701486526665	0.08188952895927254	0.26216027279730336	0.024511939414268772	0.01730602797453717	0.20886376337238366	0.1260872407093445	0.1699972612733924
DnaseU	0.007579887218045112	0.10420938144104724	0.04541797761674585	0.1612547984878076	0.024787395530490162	0.3043543881237947	0.23177829555192664	0.0259533189033189	0.0946645571268237
Enh	0.04364882550594287	0.05512747138743908	0.15855679814564008	0.14451743872978892	0.05518540916079279	0.04980160123015	0.35633850841575765	0.025320157435630576	0.11150378998885793
H4K20	0.022067155067155064	0.16142604600526972	0.09099959822599141	0.1457117419422317	0.03041215973568915	0.23299488859390785	0.15854932189570112	0.07268427690008365	0.08515481163397016
EnhWF	0.01473211121237437	0.07908705881402912	0.06171725924240048	0.13070862400176908	0.04029442534278313	0.2871706600677443	0.2702480661259506	0.015173410799726587	0.10086838439322215
ElonW	0.000625	0.19630399629732867	0.026124022176653754	0.0786952190063433	0.0163257411965549	0.1735773249674834	0.10815001815337048	0.27635442237946434	0.12384425582280127
Pol2	0.13903759867097798	0.05091089105021465	0.018001213818860877	0.2502427296560806	0.06873762176848797	0.026309348080531744	0.16744979683275008	0.13925675598469878	0.1400540441373973
Low	0.0026418067226890757	0.1456231020711196	0.001880952380952381	0.2405580202112171	0.010917426610521239	0.44419335090174583	0.054634577525817934	0.04169789229518331	0.05785287128075355
Ctcf	0.03171144434851529	0.08292479955672923	0.0659390793841736	0.224440303266497	0.04412726358135564	0.07644527133228084	0.214030102951451	0.060879581972969374	0.19950215360602808
EnhF	0.02886573630188181	0.07030707932798436	0.15372435324587452	0.10826059030981629	0.0553073500424086	0.12982001150864883	0.33031361324708475	0.014616195607984543	0.10878507040831609
Quies	0.000625	0.14478200599898314	0.0	0.10718542316450982	0.004526854219948849	0.6868042162113985	0.013551617996705744	0.016507282913165264	0.02601759949528862
ReprD	0.0460102046102046	0.033499670011118386	0.10537103254443386	0.12241710462690068	0.07238542636183806	0.047837389220092785	0.2243126719366283	0.17486004974623473	0.1733064509425486
Tss	0.24296319939780378	0.006988449530009632	0.026390443370115296	0.35062605028551885	0.09769853943312684	0.007444337063902281	0.1605613618230456	0.0227281746031746	0.084599444493303
PromP	0.16151894932129485	0.015210290562495198	0.05033659994452832	0.21063170935258085	0.06162046174537088	0.01039844037934021	0.24572147589797091	0.1092408549413568	0.13532121785506188
ReprW	0.01342642210730446	0.10769842143094933	0.02025274725274725	0.1939595564577981	0.02162209231518694	0.31231804836666266	0.07019468086662212	0.20605846429215904	0.054469566910570075
PromF	0.06729901037439401	0.037596563297026944	0.110614756113404	0.16131481330522923	0.06545719859277539	0.030232475466151276	0.3234464066251605	0.04312034683256792	0.1609184293932907
Gen5'	0.019895255071725657	0.035839946428729494	0.12299819886561814	0.025182852444539744	0.09565968503923607	0.022446904768856833	0.32847315343603617	0.18491740473080018	0.16458659921445765
Elon	0.011943399522733888	0.14105366406231765	0.05925416543630366	0.06957969981944441	0.031039840392852232	0.13041997512605724	0.1989791625050401	0.19844600710619353	0.15928408602905722
Art	0.12813918520855863	0.028221805591732565	0.0802490846843788	0.17364933951360859	0.09218996946715813	0.008442008409750346	0.2755204036919985	0.11694466052264664	0.09664354291016783
