orig_label	(04) H3K4me3	(12) internal introns	(08) 5' flanking (1-1000 bp)	(15) 3' flanking (1-1000 bp)	(14) terminal intron	(05) H3K27ac	(06) H3K4me1	(02) H3K27me3	(09) initial exon	(13) terminal exon	(07) 5' flanking (1000-10000 bp)	(10) initial intron	(03) H3K36me3	(01) H3K9me3	(16) 3' flanking (1000-10000 bp)	(11) internal exons
11_Weak_Txn	0.43744311419017995	0.677420927390195	-0.45394338346450014	0.3793421621801711	0.286510146317218	0.36429471569372923	0.4873626834259979	0.4090131131012312	-0.4497862553333889	0.25721025897009275	-0.378607168272354	0.1946034461409716	0.6543511476597891	0.47942398319538676	0.4030090374855344	0.5538257010558584
9_Txn_Transition	0.5353542988005187	1.8563140489249028	0.053281325467560946	1.3434387701985582	1.7337610447715082	0.6859443336027248	0.9284143142956081	0.48177984700170384	0.07539565419608742	1.4601644478735734	0.035467278185735196	1.0437536485858385	1.1132248274368444	0.4881009043512987	1.2960487067401762	1.954372310724674
6_Weak_Enhancer	0.7191951055492514	-0.2525095121937069	1.7839245728808617	0.39311319493686137	0.350617702648289	0.6383556650303567	0.8218506494134927	0.5484978628970457	1.1147412812518764	0.37224322052133546	1.8285900817403933	1.646439236734117	0.5632167583116154	0.5350431896268649	0.3324490104599053	-0.03655895258294048
5_Strong_Enhancer	0.5440166569442129	0.07768424208568346	0.15795407074368525	0.4027217105575577	0.5147425833246002	0.721532986987615	0.846090854364909	0.6447947664782728	0.10374688337328353	0.41384957605499595	0.2797679218248318	0.5537411024431677	0.637562164180437	0.5235141689713615	0.41812393846821894	0.16048484045426825
3_Poised_Promoter	1.0055694082385513	0.394223339433384	3.825980367336232	1.31606903620315	1.7027984456113452	0.6246825211834309	1.9196659293869078	1.4168032408685305	3.848275953418464	1.7578829145579433	3.6472179231880393	2.83223374529128	0.25065585312030436	0.48189426489445103	1.159353753522851	0.9973214676272784
8_Insulator	0.49335086096172204	0.3603998937061003	0.6531979186086703	0.662173514158748	0.6668624175235913	0.4762867315448481	0.70603856532774	0.6792433501551336	0.5304076276578694	0.7332241935996925	0.6715672880536291	0.33473129164409626	0.4741759938442218	0.5499088279566449	0.6576034037701721	0.506328391892476
10_Txn_Elongation	0.4362569421917819	2.706981770327021	-0.018227924314912422	1.376382399040812	2.016838456465526	0.4832044074487068	0.6058204409159107	0.3858700952157999	-0.012809125719052628	1.5541465529797558	-0.05678399461305453	-0.0831183953519737	1.2402820657318268	0.4678038724520673	1.3263348580760173	2.6723546135815948
13_Heterochrom/lo	0.4329668541153147	-1.083031295720933	-0.7279739563666691	-0.4700463471020113	-0.6897387027487113	0.23388429954507817	0.25957889383198324	0.4261771459372346	-0.7235695854888695	-0.49764950657297513	-0.6979339728937791	-0.7857835163146875	0.31675957221300105	0.5628407286951682	-0.458438960519455	-1.0734877030156662
7_Weak_Enhancer	0.5055845152590004	-0.4705696011707243	-0.2552633744056095	0.025828480200454095	-0.06393758895629509	0.50721561631818	0.6379730331232633	0.6058784632123425	-0.26914990069851574	-0.08054823606710731	-0.1749939453159021	0.3756829713860843	0.5332946587313873	0.5286300336416225	0.07606934868552813	-0.48855624227130545
2_Weak_Promoter	1.6040285465079078	0.6305103483897816	3.359790605875898	1.1202577542235779	1.3696585915949304	1.171007039534422	1.4530016145544835	0.5469883712147664	3.177999357088837	1.3328046997959355	3.459996363977286	3.1826360209491646	0.6230038530416048	0.4870982718029273	0.9784934348240881	1.18655776605516
1_Active_Promoter	2.9149166184618394	0.08161951370226081	4.739963996978346	1.2338981345990316	1.5217332190625756	2.3420454185855504	1.7291619165984442	0.4836054217514258	4.871544935494142	1.5526540380197988	4.497886100720095	3.9797267836920303	0.43341010091854787	0.4254641224439321	1.1916846653032427	1.1876873938449797
12_Repressed	0.46207340911365835	0.13126080163775788	0.530244956112466	0.536233578927255	0.5770412042465595	0.39102360911366596	0.5592292574728105	1.1059108115351315	0.5440271466252719	0.5192317559202884	0.5735418878371965	0.7844328345761089	0.3308692577786934	0.49581173874342677	0.5248534897381891	0.20898050990784214
4_Strong_Enhancer	1.0378909512155008	0.7091675406283641	1.7789360241759793	1.2478337765498289	1.2616315845708828	1.33012636926364	1.4697298229164757	0.6921902305176936	1.752858385953536	1.238557206615952	2.3860981076281575	2.2642467984106527	0.736980299177535	0.5107228105629199	1.2894222176848205	1.012838141483097
15_Repetitive/CNV	0.3153970107967667	-1.5787732886355355	-0.11584597790111509	-0.6947882552803822	-1.3291188458984768	0.20222808725240204	0.21929663452108944	0.19585366640909851	-0.38011301632386874	-0.9340223977173006	-0.07090303229585992	-1.0434953128466788	0.294627794006507	0.5046672933363657	-0.8080179582606613	-1.8343091710051886
14_Repetitive/CNV	0.2794353886364416	-1.533092910782105	1.3180059712613255	0.8775693893448308	-0.3473290807349897	0.15054639572283818	0.15981128704165182	0.1695231203011867	1.2642143195472502	1.1561266405973876	0.9676265433363773	-0.234642625427722	0.202955830308235	0.3611609583958264	0.7387156663380005	-1.3260221569209818
