label	Bivalent	ConstitutiveHet	Enhancer	FacultativeHet	Promoter	Quiescent	RegPermissive	Transcribed	Unclassified
TssF	0.05056912783862912	0.03420816120563437	0.08174087282898024	0.05672221638497111	0.0653792566392458	0.01966000011988863	0.26218522587027504	0.18000145324105454	0.24953368587132133
Gen3'	0.02475135492526797	0.08090139929895995	0.0247244128420599	0.0656521708156558	0.07067403367102039	0.11611913848203104	0.16536677513331505	0.2857184148717887	0.1660922999599011
EnhW	0.02970865456577194	0.037271285743275755	0.10668634223386196	0.16359664128554136	0.0781981405470536	0.06869443618081635	0.3043577053325762	0.02296937824224575	0.1885174158688572
Repr	0.0023243464052287582	0.21480655494486997	0.02849086099086099	0.2023361947703172	0.04487808343063088	0.19516775953587204	0.08427193084746323	0.0957568014515427	0.1319674676232141
FaireW	0.0205895026026605	0.09740226691743233	0.07667636590275911	0.15620434970034455	0.04725792870102333	0.30832279933769735	0.17402513619981813	0.033723049886130375	0.08579860075213416
DnaseD	0.039303661709234466	0.04033990725237465	0.010809523809523809	0.37324077382588094	0.006988319992028431	0.04492536468919541	0.05874323223473871	0.2715631493096587	0.15408606717736475
CtcfO	0.07415918988854782	0.0404392932848957	0.009611111111111112	0.41435234899095713	0.023522691331670308	0.03474803555060212	0.08067931460786618	0.1510125043213295	0.1714755109130201
DnaseU	0.08169632631672621	0.027208688804537206	0.0	0.5112845430052174	0.010286921406197868	0.032753288403709495	0.042009596504843066	0.17305802089898908	0.12170261465977956
Enh	0.032435386493974455	0.032127164029827585	0.1672403927626912	0.10829855826459674	0.09461283159253614	0.05797548762379435	0.28227002213059593	0.04236834675739074	0.18267181034459284
H4K20	0.014076099339257233	0.08961227047049534	0.01835969212246302	0.1348000352026883	0.03650507434290581	0.4388177021985794	0.14481033598343726	0.048897870185370194	0.07412092015480351
EnhWF	0.014764790950936461	0.0576742515175617	0.0625491189032075	0.13216019928022063	0.052697053987974696	0.2638367191750012	0.27479817600296613	0.022033340724873906	0.11948634945725761
ElonW	0.0010795454545454546	0.08445467006799821	0.03377603415103415	0.09123890214131901	0.014663403534217237	0.17941283106138414	0.10791311616812499	0.3431194254037987	0.14434207201757804
Pol2	0.1054764741121788	0.02470141416651314	0.0016333333333333332	0.28887568750281245	0.02148780062897775	0.033696678053250724	0.06537386798576457	0.3020785190794852	0.156676225137684
Low	0.001953976034858388	0.0811071372019552	0.001880952380952381	0.22824181457214293	0.017647797688718405	0.4386537053911583	0.07750319277660196	0.052348670218221975	0.10066275373539059
Ctcf	0.003705207649247897	0.2202611422394433	0.012976190476190474	0.21440386882987839	0.02808369515636645	0.21989457273447066	0.0783907267374879	0.09569946440734615	0.12658513176956862
EnhF	0.02417556536171087	0.04726161328906668	0.0905909062760095	0.11649604306606444	0.059415119463477245	0.2509119994502815	0.28574899483081656	0.013679615705931493	0.11172014255664163
Quies	0.0004	0.15174063235215604	0.0	0.1637615814580547	0.002173913043478261	0.5689451810256633	0.05772416899443418	0.02008746003738264	0.03516706308883083
ReprD	0.03941477282034558	0.042744290644873485	0.016928780896522833	0.36185598051461704	0.009528232272730185	0.03852893308058963	0.07821293389812684	0.2615071604915086	0.15127891538068577
Tss	0.18048709436248814	0.016008057373146888	0.032296848576260334	0.295663679257779	0.06111928048544686	0.014580945553451947	0.1255910012946669	0.13777626593355496	0.13647682716320486
PromP	0.1453382198437758	0.018846206223444073	0.015575757575757574	0.2207325423772321	0.02444087574829263	0.024879531398743923	0.1272686180721854	0.23107607370422936	0.19184217505633916
ReprW	0.0023243464052287582	0.22099715742618303	0.004324561403508772	0.19084196640318388	0.003889173060528559	0.4036089061952366	0.07524428671716082	0.029990213083681248	0.06877938930528832
PromF	0.1378009707950549	0.02164678174485871	0.0326530243056726	0.3520919989857508	0.04040520439985374	0.04017248450709514	0.19185906982052486	0.033397310710034496	0.14997315473115486
Gen5'	0.00533377250768555	0.047779974874600326	0.10456692022773595	0.04601549634825377	0.045578963648640565	0.06903277033413302	0.19619692825346413	0.2914511071188285	0.1940440666866582
Elon	0.013517047565960609	0.07387735353248744	0.034119830912669784	0.07946387014716935	0.023197381110461605	0.1594625823965069	0.11285144876140779	0.3635940407063854	0.1399164448669509
Art	0.09654275623906462	0.016127562150462273	0.01729420677361854	0.18913888672860274	0.043239434615905854	0.010822239289981226	0.11925107928636709	0.32277092735505475	0.18481290756094274
