old	new
TssF	RegPermissive
Gen3'	Transcribed
EnhW	RegPermissive
Repr	LowConfidence
FaireW	Quiescent
DnaseD	FacultativeHet
CtcfO	FacultativeHet
DnaseU	FacultativeHet
Enh	RegPermissive
H4K20	Quiescent
EnhWF	RegPermissive
ElonW	Transcribed
Pol2	Transcribed
Low	Quiescent
Ctcf	LowConfidence
EnhF	RegPermissive
Quies	Quiescent
ReprD	FacultativeHet
Tss	FacultativeHet
PromP	LowConfidence
ReprW	Quiescent
PromF	FacultativeHet
Gen5'	Transcribed
Elon	Transcribed
Art	Transcribed
