old	new
16_EnhW1	LowConfidence
25_Quies	Quiescent
4_PromD2	FacultativeHet
6_Tx	FacultativeHet
14_EnhA2	Quiescent
19_DNase	LowConfidence
24_ReprPC	FacultativeHet
21_Het	FacultativeHet
22_PromP	FacultativeHet
15_EnhAF	Quiescent
7_Tx3'	FacultativeHet
17_EnhW2	Quiescent
20_ZNF/Rpts	RegPermissive
10_TxEnh5'	Transcribed
12_TxEnhW	Transcribed
1_TssA	Transcribed
5_Tx5'	Transcribed
18_EnhAc	Quiescent
2_PromU	FacultativeHet
8_TxWk	LowConfidence
3_PromD1	Transcribed
13_EnhA1	FacultativeHet
23_PromBiv	FacultativeHet
9_TxReg	Transcribed
11_TxEnh3'	FacultativeHet
