old	new
PromF	Transcribed
CtcfO	Bivalent
PromP	Bivalent
TssF	Bivalent
ElonW3	FacultativeHet
Tss	Bivalent
ElonW1	Enhancer
EnhPr	Bivalent
Repr	Bivalent
ElonW2	Enhancer
Faire	RegPermissive
DnaseD	Bivalent
Quies	RegPermissive
EnhWf2	RegPermissive
EnhWf3	RegPermissive
Low6	RegPermissive
Low7	RegPermissive
Low4	RegPermissive
Low5	RegPermissive
Low2	RegPermissive
Low3	RegPermissive
Low1	RegPermissive
Elon	Bivalent
Gen3'	Bivalent
EnhWf1	RegPermissive
