old	new
PromF	Transcribed
CtcfO	FacultativeHet
Enh	LowConfidence
Low	Quiescent
PromP	Bivalent
TssF	Bivalent
Tss	Transcribed
Ctcf	RegPermissive
EnhF	RegPermissive
Pol2	FacultativeHet
ElonW	FacultativeHet
Repr	FacultativeHet
EnhW	Bivalent
DnaseD	FacultativeHet
Quies	Quiescent
Gen5'	LowConfidence
DnaseU	LowConfidence
FaireW	RegPermissive
EnhWF	RegPermissive
Art	LowConfidence
H4K20	RegPermissive
ReprW	FacultativeHet
Elon	LowConfidence
Gen3'	FacultativeHet
ReprD	Bivalent
