label	Bivalent	ConstitutiveHet	Enhancer	FacultativeHet	Promoter	Quiescent	RegPermissive	Transcribed	Unclassified
TssF	0.1244103269495146	0.009479291275646775	0.021066934046345808	0.17866949282900285	0.04418573960476638	0.0076516354016354015	0.13707355365864246	0.2774936328683803	0.1999693933660652
Gen3'	0.04518046985694044	0.07850744090974969	0.03525518207282913	0.12332871731211215	0.08111821085120846	0.06073165826354171	0.23021692773929886	0.19680636355367015	0.1488550294406492
EnhW	0.06965900525779042	0.021623954320383852	0.06798528539496693	0.2427135324323304	0.022762691316625228	0.025382310913960527	0.16127330405425272	0.17937503021910411	0.20922488609058576
Repr	0.023942183432272945	0.1404805246398702	0.08724450725438061	0.15301910977925914	0.08066030126153294	0.10193757785077605	0.1439721024476702	0.11300429995570155	0.15573939337853623
FaireW	0.01968778423669728	0.10308498602721915	0.12312430940010684	0.18255642435502104	0.05337110023021653	0.2246988760739114	0.17670041782878876	0.04050632741441564	0.07626977443362327
DnaseD	0.06386943616675073	0.08077564641405069	0.04614077044959397	0.2616463515033808	0.0349827542592255	0.04203705886168426	0.19411006512507853	0.13575801924970887	0.14067989797052663
CtcfO	0.057773194244421865	0.04175713068709506	0.05106077157899407	0.2939555294391067	0.02464033839049384	0.037850535045045354	0.16136733650829213	0.16386479908538898	0.16773036502116193
DnaseU	0.0128537298757887	0.08598791733193574	0.06812338351514544	0.30515989892769285	0.039581314491608614	0.15389302142874725	0.2423468853514309	0.018636924261322355	0.07341692481632817
Enh	0.13476298850394297	0.009641110594435403	0.04744650065029983	0.301311822790261	0.027117564837833376	0.011209433682259769	0.14828340844872337	0.15023590433436987	0.16999126615787447
H4K20	0.0064980158730158725	0.09106423259764221	0.0808145244642787	0.1736317953892156	0.03714103925518651	0.31208657821381947	0.199365666051548	0.031280977274359634	0.0681171708809339
EnhWF	0.014056938431938431	0.09348621246738302	0.0996261385875576	0.11836658348257481	0.02738084845437787	0.22253804870638735	0.3054812508462356	0.014801464445427293	0.10426251457811787
ElonW	0.009690656565656566	0.12165768575180136	0.017814204314204315	0.09435111136598952	0.023268951721661976	0.1576286615678904	0.09604183706489955	0.3425453899112753	0.13700150173662076
Pol2	0.01382278349669654	0.10108763918666032	0.06444400575743288	0.1038864931382134	0.02653019254692156	0.12710497540725416	0.1521849480507958	0.16685227439915923	0.24408668801686612
Low	0.0020535714285714285	0.11319658574646478	0.002811688311688312	0.21142277540895738	0.016302041995136626	0.4186237468218747	0.0960394223187062	0.054878962622344984	0.08467120534625577
Ctcf	0.008632144886940283	0.10466028851721408	0.07065940467978415	0.19455616358320285	0.03726246388319009	0.2459683507306118	0.1596348885524236	0.09515548264963228	0.08347081251700081
EnhF	0.02096933159433159	0.05767333355719892	0.13766211030218728	0.1212640170831347	0.05082265299113125	0.15612941507997546	0.357656408340819	0.015483176701692443	0.08233955434952937
Quies	0.0014285714285714286	0.15321016313309146	0.0	0.11863968622907577	0.01472628441937905	0.6148294928884517	0.03696125723996568	0.01980905058993294	0.04039549407153224
ReprD	0.11915874210505048	0.0235507754674096	0.03504370629370629	0.1797831155295451	0.051824827709643966	0.015021010637109708	0.1603231397507982	0.23139392280891805	0.18390075969781847
Tss	0.21473076475074396	0.008808568882098295	0.032296848576260334	0.26806682186493624	0.07038579656310845	0.008963156408808584	0.1276862748721386	0.1439282267178687	0.1251335413640367
PromP	0.11774366028284793	0.020562178976181532	0.0286558229352347	0.1719243947897872	0.03945240627143306	0.01350130860424978	0.14631298644807525	0.2565013457437403	0.20534589594845015
ReprW	0.007159423708336752	0.2280615551739599	0.03947631382604124	0.1716963968138279	0.041342365493597155	0.18422149676616317	0.11048319440663633	0.07714492964764703	0.14041432416379035
PromF	0.04234974672954213	0.03093867050804895	0.146227766178991	0.12369829158231026	0.0875115545407913	0.06424106125127067	0.31887107572495277	0.043885340161303646	0.1422764933227892
Gen5'	0.014611238434767849	0.0342944191281359	0.10693117825586866	0.028769600062247117	0.06691265593178158	0.013516660763922425	0.32198281951452656	0.18543232465493062	0.22754910325381936
Elon	0.01861167672197084	0.11105545054311465	0.06301496188996189	0.0788186449908586	0.05602411315894287	0.15786829474546116	0.14901988376873077	0.23416434993192564	0.1314226242490334
Art	0.1354531754838492	0.01380900003662152	0.039512121212121214	0.14803658777159984	0.054053572472863055	0.011732292200034135	0.16752958474970725	0.2636471544274893	0.16622651164571425
