reg	true_label	predicted_label	prob	assignments
2	Quiescent	Unclassified	-inf	1
2	Quiescent	Quiescent	-inf	26
2	Quiescent	RegPermissive	-inf	0
2	Quiescent	Transcribed	-inf	1
2	Quiescent	ConstitutiveHet	-inf	2
2	Promoter	Enhancer	-inf	1
2	Promoter	FacultativeHet	-inf	0
2	Promoter	Bivalent	-inf	0
2	Promoter	Promoter	-inf	10
2	Promoter	Unclassified	-inf	0
2	Promoter	Quiescent	-inf	0
2	Promoter	RegPermissive	-inf	4
2	Promoter	Transcribed	-inf	0
2	Promoter	ConstitutiveHet	-inf	0
2	Transcribed	Enhancer	-inf	0
2	Transcribed	FacultativeHet	-inf	0
2	Transcribed	Bivalent	-inf	0
2	Transcribed	Promoter	-inf	0
2	Transcribed	Unclassified	-inf	2
2	Transcribed	Quiescent	-inf	2
2	Transcribed	RegPermissive	-inf	1
2	Transcribed	Transcribed	-inf	31
2	Transcribed	ConstitutiveHet	-inf	0
2	ConstitutiveHet	Enhancer	-inf	0
2	ConstitutiveHet	FacultativeHet	-inf	1
2	ConstitutiveHet	Bivalent	-inf	0
2	ConstitutiveHet	Promoter	-inf	0
2	ConstitutiveHet	Unclassified	-inf	2
2	ConstitutiveHet	Quiescent	-inf	7
2	ConstitutiveHet	RegPermissive	-inf	2
2	ConstitutiveHet	Transcribed	-inf	1
2	ConstitutiveHet	ConstitutiveHet	-inf	3
4	Enhancer	Enhancer	-inf	7
4	Enhancer	FacultativeHet	-inf	0
4	Enhancer	Bivalent	-inf	0
4	Enhancer	Promoter	-inf	0
4	Enhancer	Unclassified	-inf	1
4	Enhancer	Quiescent	-inf	0
4	Enhancer	RegPermissive	-15.6247585044	7
4	Enhancer	Transcribed	-inf	0
4	Enhancer	ConstitutiveHet	-inf	0
4	Bivalent	Enhancer	-inf	0
4	Bivalent	FacultativeHet	-inf	3
4	Bivalent	Bivalent	-inf	8
4	Bivalent	Promoter	-inf	2
4	Bivalent	Unclassified	-inf	0
4	Bivalent	Quiescent	-inf	0
4	Bivalent	RegPermissive	-26.0654546937	0
4	Bivalent	Transcribed	-inf	0
4	Bivalent	ConstitutiveHet	-inf	0
4	FacultativeHet	Enhancer	-inf	0
4	FacultativeHet	FacultativeHet	-36.4802151188	21
4	FacultativeHet	Bivalent	-inf	0
4	FacultativeHet	Promoter	-inf	1
4	FacultativeHet	Unclassified	-inf	0
4	FacultativeHet	Quiescent	-inf	2
4	FacultativeHet	RegPermissive	-inf	6
4	FacultativeHet	Transcribed	-inf	0
4	FacultativeHet	ConstitutiveHet	-inf	2
4	RegPermissive	Enhancer	-inf	1
4	RegPermissive	FacultativeHet	-inf	4
4	RegPermissive	Bivalent	-inf	0
4	RegPermissive	Promoter	-inf	4
4	RegPermissive	Unclassified	-inf	2
4	RegPermissive	Quiescent	-inf	1
4	RegPermissive	RegPermissive	-45.5874680273	31
4	RegPermissive	Transcribed	-inf	0
4	RegPermissive	ConstitutiveHet	-inf	0
4	Unclassified	Enhancer	-inf	0
4	Unclassified	FacultativeHet	-inf	1
4	Unclassified	Bivalent	-inf	1
4	Unclassified	Promoter	-inf	0
4	Unclassified	Unclassified	-inf	9
4	Unclassified	Quiescent	-inf	3
4	Unclassified	RegPermissive	-inf	2
4	Unclassified	Transcribed	-inf	3
4	Unclassified	ConstitutiveHet	-inf	1
4	Quiescent	Enhancer	-inf	0
4	Quiescent	FacultativeHet	-inf	2
4	Quiescent	Bivalent	-inf	0
4	Quiescent	Promoter	-inf	0
4	Quiescent	Unclassified	-inf	0
4	Quiescent	Quiescent	-inf	26
4	Quiescent	RegPermissive	-inf	1
4	Quiescent	Transcribed	-inf	1
4	Quiescent	ConstitutiveHet	-inf	3
4	Promoter	Enhancer	-inf	0
4	Promoter	FacultativeHet	-inf	0
4	Promoter	Bivalent	-37.7991987711	0
4	Promoter	Promoter	-16.7954940757	11
4	Promoter	Unclassified	-inf	0
4	Promoter	Quiescent	-inf	0
4	Promoter	RegPermissive	-inf	4
4	Promoter	Transcribed	-inf	0
4	Promoter	ConstitutiveHet	-inf	0
4	Transcribed	Enhancer	-inf	0
4	Transcribed	FacultativeHet	-inf	0
4	Transcribed	Bivalent	-inf	1
4	Transcribed	Promoter	-inf	0
4	Transcribed	Unclassified	-inf	1
4	Transcribed	Quiescent	-inf	1
4	Transcribed	RegPermissive	-inf	1
4	Transcribed	Transcribed	-14.6098955415	32
4	Transcribed	ConstitutiveHet	-inf	0
4	ConstitutiveHet	Enhancer	-inf	2
4	ConstitutiveHet	FacultativeHet	-33.4694480976	2
4	ConstitutiveHet	Bivalent	-inf	0
4	ConstitutiveHet	Promoter	-inf	0
4	ConstitutiveHet	Unclassified	-inf	1
4	ConstitutiveHet	Quiescent	-inf	8
4	ConstitutiveHet	RegPermissive	-inf	0
4	ConstitutiveHet	Transcribed	-inf	3
4	ConstitutiveHet	ConstitutiveHet	-31.357286139	0
6	Enhancer	Enhancer	-19.6172106075	6
6	Enhancer	FacultativeHet	-inf	0
6	Enhancer	Bivalent	-inf	0
6	Enhancer	Promoter	-inf	0
6	Enhancer	Unclassified	-inf	0
6	Enhancer	Quiescent	-inf	0
6	Enhancer	RegPermissive	-15.4854272953	9
6	Enhancer	Transcribed	-inf	0
6	Enhancer	ConstitutiveHet	-inf	0
6	Bivalent	Enhancer	-inf	0
6	Bivalent	FacultativeHet	-inf	1
6	Bivalent	Bivalent	-18.3784885397	9
6	Bivalent	Promoter	-27.6677501222	1
6	Bivalent	Unclassified	-inf	0
6	Bivalent	Quiescent	-inf	0
6	Bivalent	RegPermissive	-21.597743342	2
6	Bivalent	Transcribed	-inf	0
6	Bivalent	ConstitutiveHet	-inf	0
6	FacultativeHet	Enhancer	-inf	0
6	FacultativeHet	FacultativeHet	-39.8866146967	21
6	FacultativeHet	Bivalent	-inf	1
6	FacultativeHet	Promoter	-inf	0
6	FacultativeHet	Unclassified	-inf	2
6	FacultativeHet	Quiescent	-inf	4
6	FacultativeHet	RegPermissive	-inf	4
6	FacultativeHet	Transcribed	-inf	0
6	FacultativeHet	ConstitutiveHet	-inf	0
6	RegPermissive	Enhancer	-inf	4
6	RegPermissive	FacultativeHet	-inf	6
6	RegPermissive	Bivalent	-inf	2
6	RegPermissive	Promoter	-inf	4
6	RegPermissive	Unclassified	-inf	3
6	RegPermissive	Quiescent	-inf	1
6	RegPermissive	RegPermissive	-48.2555451478	23
6	RegPermissive	Transcribed	-inf	0
6	RegPermissive	ConstitutiveHet	-inf	0
6	Unclassified	Enhancer	-inf	0
6	Unclassified	FacultativeHet	-inf	4
6	Unclassified	Bivalent	-inf	0
6	Unclassified	Promoter	-inf	0
6	Unclassified	Unclassified	-inf	7
6	Unclassified	Quiescent	-inf	1
6	Unclassified	RegPermissive	-39.8484581958	3
6	Unclassified	Transcribed	-inf	3
6	Unclassified	ConstitutiveHet	-inf	2
6	Quiescent	Enhancer	-inf	0
6	Quiescent	FacultativeHet	-inf	2
6	Quiescent	Bivalent	-inf	0
6	Quiescent	Promoter	-inf	0
6	Quiescent	Unclassified	-inf	0
6	Quiescent	Quiescent	-23.2177482149	28
6	Quiescent	RegPermissive	-inf	1
6	Quiescent	Transcribed	-inf	1
6	Quiescent	ConstitutiveHet	-inf	1
6	Promoter	Enhancer	-inf	1
6	Promoter	FacultativeHet	-inf	0
6	Promoter	Bivalent	-35.6704602135	1
6	Promoter	Promoter	-inf	9
6	Promoter	Unclassified	-inf	0
6	Promoter	Quiescent	-inf	0
6	Promoter	RegPermissive	-22.8804131122	4
6	Promoter	Transcribed	-inf	0
