reg	orig_label	true_label	predicted_label	Bivalent	ConstitutiveHet	Enhancer	FacultativeHet	Promoter	Quiescent	RegPermissive	Transcribed	Unclassified
1	4_Tx	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	5_Tx5'	Unclassified	Transcribed	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.4	0.3
1	8_EnhG2	Unclassified	Unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.6
1	2_PromU	RegPermissive	Bivalent	0.4	0.0	0.0	0.0	0.3	0.0	0.3	0.0	0.0
1	12_ZNF/Rpts	ConstitutiveHet	ConstitutiveHet	0.0	0.4	0.1	0.2	0.0	0.0	0.1	0.1	0.1
1	Repr3	FacultativeHet	FacultativeHet	0.0	0.0	0.0	0.9	0.0	0.1	0.0	0.0	0.0
1	Repr1	FacultativeHet	FacultativeHet	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.1
1	Repr2	FacultativeHet	Bivalent	0.6	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.1
1	CtcfO	Unclassified	Unclassified	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.2	0.5
1	12_Repressed	FacultativeHet	FacultativeHet	0.0	0.0	0.0	0.8	0.0	0.1	0.1	0.0	0.0
1	Low1	Quiescent	Quiescent	0.0	0.2	0.0	0.1	0.0	0.7	0.0	0.0	0.0
1	7_EnhG1	Unclassified	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.3
1	6_EnhG	Unclassified	Unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.6
1	EnhPr	Promoter	Enhancer	0.0	0.0	0.5	0.0	0.0	0.0	0.3	0.0	0.2
1	15_Repetitive/CNV	ConstitutiveHet	ConstitutiveHet	0.0	0.6	0.0	0.0	0.0	0.4	0.0	0.0	0.0
1	5_Strong_Enhancer	Enhancer	RegPermissive	0.0	0.0	0.2	0.0	0.0	0.1	0.7	0.0	0.0
1	PromF	RegPermissive	RegPermissive	0.1	0.0	0.0	0.0	0.1	0.0	0.8	0.0	0.0
1	Low1	ConstitutiveHet	Quiescent	0.0	0.4	0.0	0.0	0.0	0.5	0.0	0.0	0.1
1	EnhF2	Enhancer	RegPermissive	0.0	0.0	0.1	0.0	0.3	0.0	0.6	0.0	0.0
1	12_TxEnhW	RegPermissive	RegPermissive	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.2
1	Elon2	Transcribed	Transcribed	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.7	0.0
1	7_Weak_Enhancer	RegPermissive	RegPermissive	0.0	0.0	0.2	0.1	0.0	0.0	0.7	0.0	0.0
1	Low6	ConstitutiveHet	Quiescent	0.0	0.1	0.0	0.0	0.0	0.9	0.0	0.0	0.0
1	PromF	RegPermissive	RegPermissive	0.1	0.0	0.2	0.0	0.0	0.0	0.7	0.0	0.0
1	Repr	FacultativeHet	FacultativeHet	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1	Tss	Promoter	Promoter	0.0	0.0	0.0	0.0	0.8	0.0	0.2	0.0	0.0
1	5_Tx	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	4_Strong_Enhancer	Enhancer	Enhancer	0.0	0.0	0.3	0.0	0.3	0.0	0.3	0.0	0.1
1	25_Quies	Quiescent	Quiescent	0.0	0.3	0.0	0.2	0.0	0.5	0.0	0.0	0.0
1	DnaseD	Unclassified	RegPermissive	0.0	0.1	0.0	0.1	0.0	0.1	0.3	0.3	0.1
1	Tss	Promoter	Promoter	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.1
1	19_DNase	RegPermissive	RegPermissive	0.0	0.3	0.1	0.1	0.0	0.0	0.5	0.0	0.0
1	18_Quies	Quiescent	Quiescent	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
1	Tss	Promoter	Promoter	0.1	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0
1	Elon1	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.1
1	EnhPr	RegPermissive	RegPermissive	0.0	0.0	0.0	0.0	0.1	0.0	0.5	0.0	0.4
1	16_ReprPC	FacultativeHet	FacultativeHet	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1	23_PromBiv	Bivalent	Bivalent	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	18_EnhAc	RegPermissive	RegPermissive	0.0	0.0	0.0	0.0	0.0	0.1	0.7	0.0	0.2
1	Repr5	FacultativeHet	FacultativeHet	0.0	0.2	0.0	0.5	0.0	0.3	0.0	0.0	0.0
1	FaireW	RegPermissive	Quiescent	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.1	0.0
1	Gen5'	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.2
1	Low6	Quiescent	ConstitutiveHet	0.0	0.3	0.0	0.1	0.0	0.3	0.2	0.0	0.1
1	Repr	FacultativeHet	Bivalent	0.4	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.3
1	Gen3'	Transcribed	Transcribed	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.4	0.4
1	6_Tx	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	8_TxWk	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	3_TxFlnk	Transcribed	Unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.8
1	EnhW1	RegPermissive	RegPermissive	0.0	0.0	0.3	0.0	0.0	0.0	0.7	0.0	0.0
1	10_TxEnh5'	RegPermissive	RegPermissive	0.0	0.0	0.3	0.0	0.0	0.0	0.4	0.1	0.2
1	4_TssFlnkD	RegPermissive	RegPermissive	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.1
1	3_TssFlnkU	RegPermissive	RegPermissive	0.0	0.0	0.1	0.0	0.2	0.0	0.7	0.0	0.0
1	EnhWf3	Quiescent	Quiescent	0.0	0.0	0.1	0.0	0.0	0.4	0.2	0.0	0.3
1	Gen3'1	Transcribed	Transcribed	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.7	0.2
1	Repr6	FacultativeHet	ConstitutiveHet	0.0	0.4	0.0	0.4	0.0	0.2	0.0	0.0	0.0
1	PromP2	Bivalent	Promoter	0.0	0.0	0.0	0.3	0.6	0.0	0.1	0.0	0.0
